"Seg_ID","SITE_ID","Start_Date","End_Date","Num_Years","acf_SO2_Lag","acf_SO2_Value","acf_SO2_Threshold","acf_SO2_Status","acf_SO4_Lag","acf_SO4_Value","acf_SO4_Threshold","acf_SO4_Status","acf_HNO3_Lag","acf_HNO3_Value","acf_HNO3_Threshold","acf_HNO3_Status","acf_NO3_Lag","acf_NO3_Value","acf_NO3_Threshold","acf_NO3_Status","acf_TNO3_Lag","acf_TNO3_Value","acf_TNO3_Threshold","acf_TNO3_Status","acf_NH4_Lag","acf_NH4_Value","acf_NH4_Threshold","acf_NH4_Status","acf_CA_Lag","acf_CA_Value","acf_CA_Threshold","acf_CA_Status","acf_K_Lag","acf_K_Value","acf_K_Threshold","acf_K_Status","acf_MG_Lag","acf_MG_Value","acf_MG_Threshold","acf_MG_Status","acf_Sodium_Lag","acf_Sodium_Value","acf_Sodium_Threshold","acf_Sodium_Status"
1,"ABT147","2005-01-04","2010-01-04",5,50,0.1995,0.1225,"PASS",50,0.19,0.1225,"PASS",7,0.1571,0.1225,"PASS",20,0.1628,0.1225,"PASS",50,0.2286,0.1225,"PASS",50,0.2238,0.1225,"PASS",23,0.1365,0.1225,"PASS",100,0.1543,0.1225,"PASS",15,0.1331,0.1225,"PASS",15,0.1373,0.1225,"PASS"
2,"ABT147","2000-01-04","2005-01-04",5,60,0.1876,0.1223,"PASS",63,0.1374,0.1223,"PASS",15,0.2015,0.1223,"PASS",10,0.1668,0.1223,"PASS",45,0.1839,0.1223,"PASS",45,0.1354,0.1223,"PASS",45,0.1807,0.1223,"PASS",NA,NA,NA,"FAIL BOXCOX",10,0.12,0.1223,"FAIL",27,0.1394,0.1223,"PASS"
3,"ACA416","2005-10-17","2010-10-17",5,50,0.1791,0.1225,"PASS",58,0.1278,0.1225,"PASS",16,0.2089,0.1225,"PASS",10,0.1561,0.1225,"PASS",58,0.1495,0.1225,"PASS",26,0.1546,0.1225,"PASS",34,0.1731,0.1225,"PASS",6,0.1957,0.1235,"PASS",30,0.118,0.1225,"FAIL",34,0.1211,0.1225,"FAIL"
4,"ACA416","2000-10-17","2005-10-17",5,7,0.1682,0.1237,"PASS",84,0.1126,0.1237,"FAIL",17,0.1282,0.1237,"PASS",NA,NA,NA,"FAIL BOXCOX",161,0.157,0.1237,"PASS",60,0.1652,0.1237,"PASS",30,0.1719,0.1242,"PASS",NA,NA,NA,"FAIL BOXCOX",10,0.1489,0.1242,"PASS",46,0.1913,0.1242,"PASS"
5,"ALC188","2014-03-18","2019-03-18",5,15,0.1707,0.1223,"PASS",65,0.1618,0.1223,"PASS",95,0.1207,0.1223,"FAIL",54,0.1638,0.1223,"PASS",54,0.1638,0.1223,"PASS",46,0.1585,0.1223,"PASS",39,0.1831,0.1223,"PASS",19,0.122,0.1232,"FAIL",15,0.1395,0.1223,"PASS",24,0.1328,0.1223,"PASS"
6,"ALH157","2011-05-02","2016-05-02",5,74,0.2288,0.1225,"PASS",61,0.1262,0.1225,"PASS",45,0.1592,0.1225,"PASS",56,0.1301,0.1225,"PASS",74,0.1407,0.1225,"PASS",13,0.1399,0.1225,"PASS",60,0.1383,0.1225,"PASS",24,0.1442,0.1225,"PASS",12,0.1325,0.1225,"PASS",33,0.1596,0.1225,"PASS"
7,"ALH157","2006-05-02","2011-05-02",5,17,0.2192,0.1242,"PASS",14,0.1844,0.1242,"PASS",14,0.1352,0.1242,"PASS",17,0.1532,0.1242,"PASS",56,0.2174,0.1242,"PASS",56,0.173,0.1242,"PASS",36,0.1239,0.1242,"FAIL",21,0.1933,0.1242,"PASS",89,0.1485,0.1242,"PASS",19,0.1777,0.1242,"PASS"
8,"ALH157","2000-01-04","2005-01-04",5,30,0.1716,0.1223,"PASS",4,0.1624,0.1223,"PASS",30,0.1426,0.1223,"PASS",59,0.2004,0.1223,"PASS",92,0.1707,0.1223,"PASS",92,0.1369,0.1223,"PASS",64,0.1306,0.1223,"PASS",52,0.1714,0.1223,"PASS",64,0.1534,0.1223,"PASS",15,0.1515,0.1223,"PASS"
9,"ANA115","2017-03-07","2022-03-07",5,37,0.1987,0.1227,"PASS",9,0.1699,0.1227,"PASS",22,0.1332,0.1227,"PASS",97,0.1542,0.1227,"PASS",56,0.1972,0.1227,"PASS",56,0.1362,0.1227,"PASS",79,0.1651,0.1232,"PASS",52,0.2046,0.1227,"PASS",53,0.2023,0.1232,"PASS",105,0.1553,0.1227,"PASS"
10,"ANA115","2010-09-07","2015-09-07",5,51,0.1723,0.1242,"PASS",51,0.2304,0.1242,"PASS",24,0.1795,0.1242,"PASS",NA,NA,NA,"FAIL BOXCOX",16,0.1894,0.1242,"PASS",51,0.2024,0.1242,"PASS",49,0.2435,0.1242,"PASS",91,0.1562,0.1242,"PASS",49,0.2063,0.1242,"PASS",105,0.129,0.1242,"PASS"
