"Seg_ID","SITE_ID","Start_Date","End_Date","Num_Years","fft_CA_Period","fft_CA_Power","fft_CA_Threshold","fft_CA_Status","fft_HNO3_Period","fft_HNO3_Power","fft_HNO3_Threshold","fft_HNO3_Status","fft_K_Period","fft_K_Power","fft_K_Threshold","fft_K_Status","fft_MG_Period","fft_MG_Power","fft_MG_Threshold","fft_MG_Status","fft_NH4_Period","fft_NH4_Power","fft_NH4_Threshold","fft_NH4_Status","fft_NO3_Period","fft_NO3_Power","fft_NO3_Threshold","fft_NO3_Status","fft_SO2_Period","fft_SO2_Power","fft_SO2_Threshold","fft_SO2_Status","fft_SO4_Period","fft_SO4_Power","fft_SO4_Threshold","fft_SO4_Status","fft_Sodium_Period","fft_Sodium_Power","fft_Sodium_Threshold","fft_Sodium_Status","fft_TNO3_Period","fft_TNO3_Power","fft_TNO3_Threshold","fft_TNO3_Status"
1,"ABT147","2005-01-04","2010-01-04",5,54,0.695281,0.566357,"[PASS]",54,2.03259,1.012745,"[PASS]",27,28.429106,8.30396,"[PASS]",7.71,0.931023,0.600189,"[PASS]",27,5.180679,1.132029,"[PASS]",54,38.768587,2.598873,"[PASS]",54,27.225733,1.667884,"[PASS]",54,2.509403,0.650119,"[PASS]",54,4.551235,0.99801,"[PASS]",54,3.055536,0.95085,"[PASS]"
2,"ABT147","2000-01-04","2005-01-04",5,135,0.62046,0.545106,"[PASS]",54,3.591075,1.181924,"[PASS]",NA,NA,NA,"FAIL BOXCOX",54,0.494027,0.267395,"[PASS]",27,2.179754,0.891231,"[PASS]",54,39.441996,2.603447,"[PASS]",54,24.972342,1.437206,"[PASS]",54,6.009954,0.865372,"[PASS]",54,3.369779,1.008237,"[PASS]",54,2.355871,0.788012,"[PASS]"
3,"ACA416","2005-10-17","2010-10-17",5,54,2.870529,1.326978,"[PASS]",54,5.074663,1.515472,"[PASS]",54,112.353724,53.654583,"[PASS]",24.55,0.992642,0.491435,"[PASS]",54,5.53941,1.413252,"[PASS]",54,17.983335,1.798438,"[PASS]",54,7.96995,1.152988,"[PASS]",54,3.436121,0.857682,"[PASS]",54,4.753934,0.896734,"[PASS]",27,1.32755,0.921425,"[PASS]"
4,"ACA416","2000-10-17","2005-10-17",5,54,3.411723,2.566834,"[PASS]",27,5.579372,1.771009,"[PASS]",NA,NA,NA,"FAIL BOXCOX",27,1.010394,0.418454,"[PASS]",54,6.274121,1.435655,"[PASS]",NA,NA,NA,"FAIL BOXCOX",54,11.128196,1.477869,"[PASS]",54,4.314385,0.943443,"[PASS]",54,3.349685,0.915156,"[PASS]",27,2.014035,1.185556,"[PASS]"
5,"ALC188","2014-03-18","2019-03-18",5,38.57,1.660906,0.837041,"[PASS]",45,0.870107,0.580788,"[PASS]",54,24.855829,5.102111,"[PASS]",54,4.276905,0.592773,"[PASS]",18,0.466521,0.223142,"[PASS]",54,2.090139,0.711122,"[PASS]",54,10.012856,0.732797,"[PASS]",54,4.841438,0.720348,"[PASS]",54,10.227797,1.575897,"[PASS]",54,0.66683,0.368575,"[PASS]"
6,"ALH157","2011-05-02","2016-05-02",5,54,3.083398,0.788913,"[PASS]",54,22.261042,1.342235,"[PASS]",54,18.511329,1.768985,"[PASS]",54,0.60063,0.094573,"[PASS]",54,3.693726,0.928169,"[PASS]",54,49.823596,2.332778,"[PASS]",54,3.63545,0.50267,"[PASS]",54,3.983293,0.74265,"[PASS]",54,18.046107,3.294603,"[PASS]",54,3.513526,0.342866,"[PASS]"
7,"ALH157","2006-05-02","2011-05-02",5,54,4.380091,1.107498,"[PASS]",54,23.319061,1.449189,"[PASS]",54,28.735636,2.821094,"[PASS]",54,0.846738,0.145618,"[PASS]",27,1.748335,0.78116,"[PASS]",54,73.023122,3.124499,"[PASS]",54,4.353611,0.620675,"[PASS]",54,2.301553,0.335639,"[PASS]",54,30.103639,4.333906,"[PASS]",54,7.725417,0.576383,"[PASS]"
8,"ALH157","2000-01-04","2005-01-04",5,54,2.206423,0.771614,"[PASS]",54,39.232615,2.204567,"[PASS]",54,28.192204,2.614431,"[PASS]",54,1.919728,0.311542,"[PASS]",27,1.915357,0.907203,"[PASS]",54,63.575839,2.897997,"[PASS]",54,0.960345,0.139624,"[PASS]",54,6.990086,0.674111,"[PASS]",54,12.232427,3.205143,"[PASS]",54,2.674614,0.347504,"[PASS]"
9,"ANA115","2017-03-07","2022-03-07",5,54,1.228666,0.707032,"[PASS]",54,10.335817,0.854286,"[PASS]",54,909.51492,93.30983,"[PASS]",54,4.046994,1.348716,"[PASS]",54,29.691758,2.172345,"[PASS]",54,112.943125,4.921563,"[PASS]",54,3.738549,0.604016,"[PASS]",27,0.845519,0.455774,"[PASS]",54,390.489671,23.565644,"[PASS]",54,16.979237,0.912605,"[PASS]"
10,"ANA115","2010-09-07","2015-09-07",5,27,2.051898,0.835279,"[PASS]",54,13.677848,1.03208,"[PASS]",54,93.812191,16.922951,"[PASS]",54,1.067884,0.363712,"[PASS]",54,7.64426,0.888599,"[PASS]",NA,NA,NA,"FAIL BOXCOX",54,9.513688,1.069028,"[PASS]",54,0.960056,0.547748,"[PASS]",54,196.169579,10.713878,"[PASS]",54,12.302452,0.744236,"[PASS]"
