"Seg_ID","SITE_ID","Start_Date","End_Date","Num_Years","acf_SO2_Lag","acf_SO2_Value","acf_SO2_Threshold","acf_SO2_Status","acf_SO4_Lag","acf_SO4_Value","acf_SO4_Threshold","acf_SO4_Status","acf_HNO3_Lag","acf_HNO3_Value","acf_HNO3_Threshold","acf_HNO3_Status","acf_NO3_Lag","acf_NO3_Value","acf_NO3_Threshold","acf_NO3_Status","acf_TNO3_Lag","acf_TNO3_Value","acf_TNO3_Threshold","acf_TNO3_Status","acf_NH4_Lag","acf_NH4_Value","acf_NH4_Threshold","acf_NH4_Status","acf_CA_Lag","acf_CA_Value","acf_CA_Threshold","acf_CA_Status","acf_K_Lag","acf_K_Value","acf_K_Threshold","acf_K_Status","acf_MG_Lag","acf_MG_Value","acf_MG_Threshold","acf_MG_Status","acf_Sodium_Lag","acf_Sodium_Value","acf_Sodium_Threshold","acf_Sodium_Status"
1,"ABT147","2000-01-04","2011-07-26",11.56,7,0.1538,0.0806,"PASS",102,0.0959,0.0806,"PASS",7,0.1558,0.0806,"PASS",17,0.1217,0.0806,"PASS",7,0.1811,0.0806,"PASS",157,0.108,0.0806,"PASS",226,0.1217,0.0806,"PASS",NA,NA,NA,"FAIL BOXCOX",67,0.1117,0.0806,"PASS",153,0.0971,0.0806,"PASS"
2,"ACA416","2000-10-17","2015-05-26",14.6,67,0.1095,0.0718,"PASS",37,0.0757,0.0718,"PASS",26,0.105,0.0718,"PASS",NA,NA,NA,"FAIL BOXCOX",100,0.0979,0.0718,"PASS",26,0.1037,0.0718,"PASS",89,0.0894,0.0719,"PASS",NA,NA,NA,"FAIL BOXCOX",149,0.0932,0.0719,"PASS",107,0.1238,0.0719,"PASS"
3,"ALC188","2014-03-18","2020-08-04",6.38,26,0.1547,0.1081,"PASS",85,0.1358,0.1081,"PASS",20,0.1294,0.1081,"PASS",109,0.1558,0.1081,"PASS",87,0.1534,0.1081,"PASS",24,0.133,0.1081,"PASS",39,0.1484,0.1081,"PASS",98,0.1417,0.1087,"PASS",15,0.1509,0.1081,"PASS",33,0.1472,0.1081,"PASS"
4,"ALH157","2006-05-02","2016-11-01",10.5,58,0.1443,0.085,"PASS",9,0.0926,0.085,"PASS",159,0.1017,0.085,"PASS",143,0.1307,0.085,"PASS",148,0.1215,0.085,"PASS",255,0.1115,0.085,"PASS",257,0.1033,0.085,"PASS",21,0.1503,0.0851,"PASS",102,0.1219,0.085,"PASS",223,0.1138,0.085,"PASS"
5,"ALH157","2000-01-04","2006-04-18",6.29,80,0.159,0.1094,"PASS",14,0.1667,0.1094,"PASS",14,0.1279,0.1094,"PASS",59,0.1956,0.1094,"PASS",49,0.1617,0.1094,"PASS",14,0.1452,0.1094,"PASS",64,0.1369,0.1094,"PASS",11,0.1769,0.1094,"PASS",64,0.1629,0.1094,"PASS",80,0.1604,0.1094,"PASS"
6,"ANA115","2017-03-07","2022-05-10",5.17,62,0.1402,0.1206,"PASS",9,0.171,0.1206,"PASS",22,0.1366,0.1206,"PASS",97,0.1419,0.1206,"PASS",56,0.1712,0.1206,"PASS",21,0.1374,0.1206,"PASS",79,0.1588,0.1211,"PASS",52,0.2212,0.1206,"PASS",53,0.1935,0.1211,"PASS",105,0.1433,0.1206,"PASS"
7,"ANA115","2010-09-07","2016-09-13",6.02,51,0.1738,0.1132,"PASS",51,0.1803,0.1132,"PASS",75,0.1706,0.1132,"PASS",NA,NA,NA,"FAIL BOXCOX",59,0.1449,0.1132,"PASS",51,0.1853,0.1132,"PASS",49,0.2043,0.1132,"PASS",44,0.1387,0.1132,"PASS",49,0.1752,0.1132,"PASS",160,0.1558,0.1132,"PASS"
8,"ANA115","2000-01-04","2008-08-12",8.61,11,0.1652,0.0947,"PASS",11,0.1517,0.0947,"PASS",99,0.1324,0.0947,"PASS",NA,NA,NA,"FAIL BOXCOX",90,0.1132,0.0947,"PASS",111,0.1564,0.095,"PASS",76,0.1266,0.095,"PASS",111,0.1494,0.095,"PASS",76,0.112,0.095,"PASS",54,0.1246,0.095,"PASS"
9,"ARE128","2011-02-08","2024-07-09",13.42,148,0.1047,0.0745,"PASS",243,0.1266,0.0745,"PASS",159,0.1106,0.0745,"PASS",153,0.1041,0.0745,"PASS",81,0.1221,0.0745,"PASS",135,0.0952,0.0745,"PASS",52,0.0868,0.0746,"PASS",12,0.122,0.0747,"PASS",52,0.1105,0.0746,"PASS",179,0.1214,0.0746,"PASS"
10,"ARE128","2000-01-04","2009-07-21",9.54,75,0.1282,0.0889,"PASS",28,0.1135,0.0889,"PASS",172,0.1173,0.0888,"PASS",51,0.172,0.0889,"PASS",34,0.1804,0.0889,"PASS",182,0.1199,0.0889,"PASS",167,0.129,0.0889,"PASS",NA,NA,NA,"FAIL BOXCOX",51,0.1443,0.0889,"PASS",51,0.1394,0.0889,"PASS"
11,"ASH135","2004-01-27","2022-05-03",18.26,106,0.0842,0.0639,"PASS",152,0.0937,0.0639,"PASS",20,0.0892,0.0639,"PASS",NA,NA,NA,"FAIL BOXCOX",50,0.0895,0.0639,"PASS",9,0.1101,0.0639,"PASS",238,0.0902,0.0639,"PASS",109,0.1187,0.0641,"PASS",NA,NA,NA,"FAIL BOXCOX",97,0.0864,0.0639,"PASS"
12,"BAS601","2019-01-22","2025-04-08",6.21,64,0.1008,0.1111,"FAIL",38,0.1919,0.1111,"PASS",55,0.1353,0.1111,"PASS",19,0.1907,0.1111,"PASS",32,0.1972,0.1111,"PASS",45,0.1909,0.1111,"PASS",28,0.1572,0.1111,"PASS",102,0.1173,0.1111,"PASS",16,0.1242,0.1111,"PASS",77,0.144,0.1111,"PASS"
13,"BBE401","2005-07-12","2015-12-08",10.41,66,0.1347,0.0854,"PASS",9,0.1158,0.0854,"PASS",178,0.1142,0.0854,"PASS",21,0.1265,0.0854,"PASS",4,0.0953,0.0854,"PASS",54,0.1279,0.0854,"PASS",57,0.1966,0.0854,"PASS",183,0.1231,0.0855,"PASS",6,0.1238,0.0854,"PASS",86,0.1452,0.0854,"PASS"
14,"BFT142","2012-06-26","2018-08-21",6.15,55,0.165,0.1108,"PASS",224,0.1335,0.1108,"PASS",33,0.1398,0.1108,"PASS",187,0.1268,0.1108,"PASS",29,0.1207,0.1108,"PASS",4,0.1571,0.1108,"PASS",92,0.1417,0.1108,"PASS",95,0.1444,0.1111,"PASS",107,0.1336,0.1108,"PASS",110,0.1299,0.1108,"PASS"
15,"BFT142","2000-01-04","2007-07-03",7.49,104,0.1407,0.1008,"PASS",13,0.1107,0.1008,"PASS",69,0.1156,0.1005,"PASS",130,0.1335,0.1008,"PASS",20,0.1467,0.1008,"PASS",54,0.1463,0.1008,"PASS",56,0.1949,0.1008,"PASS",57,0.1276,0.1008,"PASS",57,0.1349,0.1008,"PASS",57,0.1518,0.1008,"PASS"
16,"BVL130","2006-12-05","2018-12-25",12.05,94,0.1276,0.079,"PASS",51,0.1142,0.079,"PASS",133,0.0931,0.079,"PASS",63,0.118,0.079,"PASS",14,0.1199,0.079,"PASS",14,0.1291,0.079,"PASS",94,0.1208,0.079,"PASS",6,0.1288,0.0792,"PASS",94,0.1037,0.079,"PASS",22,0.1387,0.0792,"PASS"
17,"BVL130","2000-01-04","2006-11-28",6.9,170,0.1228,0.1058,"PASS",137,0.1465,0.1055,"PASS",102,0.1264,0.1055,"PASS",100,0.1274,0.1055,"PASS",49,0.143,0.1058,"PASS",11,0.0949,0.1055,"FAIL",82,0.1488,0.1055,"PASS",91,0.135,0.1055,"PASS",27,0.1656,0.1055,"PASS",80,0.1615,0.1055,"PASS"
18,"BWR139","2007-06-19","2022-03-01",14.7,4,0.1021,0.0717,"PASS",92,0.0956,0.0717,"PASS",7,0.1058,0.0717,"PASS",51,0.1121,0.0717,"PASS",47,0.1376,0.0717,"PASS",183,0.103,0.0717,"PASS",94,0.0987,0.0717,"PASS",17,0.0859,0.0717,"PASS",178,0.1088,0.0717,"PASS",189,0.101,0.0717,"PASS"
19,"BWR139","2000-01-04","2005-05-31",5.4,111,0.1442,0.1186,"PASS",17,0.1828,0.1182,"PASS",38,0.1297,0.1186,"PASS",11,0.1549,0.1182,"PASS",17,0.1304,0.1186,"PASS",17,0.1843,0.1182,"PASS",34,0.1478,0.1182,"PASS",17,0.1613,0.1182,"PASS",49,0.1786,0.1182,"PASS",49,0.1609,0.1182,"PASS"
20,"CAD150","2004-06-08","2015-07-21",11.12,61,0.1321,0.0828,"PASS",164,0.1198,0.0828,"PASS",58,0.1096,0.0828,"PASS",NA,NA,NA,"FAIL BOXCOX",164,0.1331,0.0828,"PASS",159,0.102,0.0828,"PASS",173,0.1089,0.0828,"PASS",4,0.1371,0.0828,"PASS",63,0.1066,0.0828,"PASS",63,0.1334,0.0828,"PASS"
21,"CAN407","2013-10-15","2019-01-08",5.23,6,0.1505,0.1204,"PASS",7,0.1806,0.1204,"PASS",91,0.1771,0.1204,"PASS",57,0.1497,0.1204,"PASS",4,0.144,0.1204,"PASS",57,0.1615,0.1204,"PASS",53,0.2254,0.1204,"PASS",57,0.1624,0.1209,"PASS",53,0.1773,0.1204,"PASS",25,0.1508,0.1204,"PASS"
