"Seg_ID","SITE_ID","Start_Date","End_Date","Num_Years","fft_CA_Period","fft_CA_Power","fft_CA_Threshold","fft_CA_Status","fft_HNO3_Period","fft_HNO3_Power","fft_HNO3_Threshold","fft_HNO3_Status","fft_K_Period","fft_K_Power","fft_K_Threshold","fft_K_Status","fft_MG_Period","fft_MG_Power","fft_MG_Threshold","fft_MG_Status","fft_NH4_Period","fft_NH4_Power","fft_NH4_Threshold","fft_NH4_Status","fft_NO3_Period","fft_NO3_Power","fft_NO3_Threshold","fft_NO3_Status","fft_SO2_Period","fft_SO2_Power","fft_SO2_Threshold","fft_SO2_Status","fft_SO4_Period","fft_SO4_Power","fft_SO4_Threshold","fft_SO4_Status","fft_Sodium_Period","fft_Sodium_Power","fft_Sodium_Threshold","fft_Sodium_Status","fft_TNO3_Period","fft_TNO3_Power","fft_TNO3_Threshold","fft_TNO3_Status"
1,"ABT147","2000-01-04","2011-07-26",11.56,52.08,1.962091,0.513584,"[PASS]",52.08,7.739121,1.095644,"[PASS]",NA,NA,NA,"FAIL BOXCOX",26.04,1.935131,0.361323,"[PASS]",26.04,8.903277,0.97405,"[PASS]",52.08,97.390908,2.530062,"[PASS]",52.08,72.909509,1.879145,"[PASS]",52.08,12.343751,0.829556,"[PASS]",52.08,11.834423,1.138765,"[PASS]",52.08,6.274231,0.889362,"[PASS]"
2,"ACA416","2000-10-17","2015-05-26",14.6,51.2,6.284473,1.620875,"[PASS]",26.48,12.480668,1.780127,"[PASS]",NA,NA,NA,"FAIL BOXCOX",26.48,2.286462,0.58794,"[PASS]",51.2,9.969236,1.514057,"[PASS]",NA,NA,NA,"FAIL BOXCOX",51.2,21.938506,1.30652,"[PASS]",51.2,6.596774,0.8681,"[PASS]",51.2,12.296362,1.060831,"[PASS]",26.48,3.305414,1.04876,"[PASS]"
3,"ALC188","2014-03-18","2020-08-04",6.38,51.43,3.626202,0.924192,"[PASS]",51.43,1.160188,0.549869,"[PASS]",51.43,45.483822,5.176929,"[PASS]",51.43,7.371416,0.608567,"[PASS]",30,0.414454,0.232836,"[PASS]",51.43,4.286427,0.742227,"[PASS]",51.43,14.631103,0.783687,"[PASS]",51.43,6.343942,0.669206,"[PASS]",51.43,15.92531,1.578057,"[PASS]",51.43,0.935476,0.351519,"[PASS]"
4,"ALH157","2006-05-02","2016-11-01",10.5,52.36,8.757415,0.962922,"[PASS]",52.36,54.023706,1.381141,"[PASS]",52.36,59.097211,2.632366,"[PASS]",52.36,1.936682,0.140624,"[PASS]",52.36,6.649463,0.835521,"[PASS]",52.36,138.951124,2.722685,"[PASS]",52.36,8.744662,0.546487,"[PASS]",52.36,7.680763,0.556449,"[PASS]",52.36,45.442559,3.308343,"[PASS]",52.36,11.758764,0.435649,"[PASS]"
5,"ALH157","2000-01-04","2006-04-18",6.29,51.43,2.890513,0.786601,"[PASS]",51.43,53.635739,2.168575,"[PASS]",51.43,37.401255,2.582507,"[PASS]",51.43,2.539959,0.310326,"[PASS]",25.71,3.370475,0.86194,"[PASS]",51.43,93.947836,3.243725,"[PASS]",51.43,0.784699,0.09531,"[PASS]",51.43,8.21927,0.546964,"[PASS]",51.43,20.049441,3.146753,"[PASS]",51.43,2.37874,0.230631,"[PASS]"
6,"ANA115","2017-03-07","2022-05-10",5.17,5.24,0.855034,0.616224,"[PASS]",48,9.401739,0.879803,"[PASS]",57.6,324.543741,57.362279,"[PASS]",48,3.719843,1.344011,"[PASS]",57.6,16.853792,2.158396,"[PASS]",48,61.154114,4.819152,"[PASS]",48,2.567997,0.772441,"[PASS]",26.18,1.333694,0.448938,"[PASS]",57.6,234.660124,23.173057,"[PASS]",57.6,9.670027,0.908148,"[PASS]"
7,"ANA115","2010-09-07","2016-09-13",6.02,26.67,3.547339,0.948551,"[PASS]",53.33,15.053298,0.963629,"[PASS]",53.33,143.824244,17.666244,"[PASS]",53.33,2.527589,0.632726,"[PASS]",53.33,9.798725,0.922676,"[PASS]",NA,NA,NA,"FAIL BOXCOX",53.33,10.186223,1.003188,"[PASS]",26.67,1.160984,0.543858,"[PASS]",53.33,296.344861,13.68222,"[PASS]",53.33,15.01297,0.736395,"[PASS]"
8,"ANA115","2000-01-04","2008-08-12",8.61,50,2.817318,0.730859,"[PASS]",50,18.575066,1.258151,"[PASS]",50,21.585471,2.800117,"[PASS]",50,2.473962,0.443094,"[PASS]",26.47,2.215217,0.796401,"[PASS]",NA,NA,NA,"FAIL BOXCOX",50,18.330792,1.404862,"[PASS]",50,2.448532,0.393675,"[PASS]",50,166.564903,8.274054,"[PASS]",50,13.507464,0.83869,"[PASS]"
9,"ARE128","2011-02-08","2024-07-09",13.42,26.67,0.578115,0.283176,"[PASS]",51.43,7.20131,0.489945,"[PASS]",51.43,17.899248,1.689162,"[PASS]",51.43,2.794526,0.62057,"[PASS]",51.43,9.551093,0.873532,"[PASS]",51.43,181.666264,3.49449,"[PASS]",51.43,24.143037,1.038448,"[PASS]",51.43,2.467296,0.365946,"[PASS]",51.43,40.742933,4.474948,"[PASS]",51.43,19.87879,0.581831,"[PASS]"
10,"ARE128","2000-01-04","2009-07-21",9.54,26.32,0.76184,0.320487,"[PASS]",50,4.00811,0.683125,"[PASS]",NA,NA,NA,"FAIL BOXCOX",26.32,3.46229,0.583189,"[PASS]",50,4.681338,0.607893,"[PASS]",50,85.747944,3.914657,"[PASS]",50,12.7301,0.660633,"[PASS]",50,6.81483,0.364245,"[PASS]",50,13.628073,2.38694,"[PASS]",50,5.598564,0.516533,"[PASS]"
