"Seg_ID","SITE_ID","Start_Date","End_Date","Num_Years","acf_SO4_Lag","acf_SO4_Value","acf_SO4_Threshold","acf_SO4_Status","acf_NO3_Lag","acf_NO3_Value","acf_NO3_Threshold","acf_NO3_Status","acf_NH4_Lag","acf_NH4_Value","acf_NH4_Threshold","acf_NH4_Status","acf_CA_Lag","acf_CA_Value","acf_CA_Threshold","acf_CA_Status","acf_K_Lag","acf_K_Value","acf_K_Threshold","acf_K_Status","acf_MG_Lag","acf_MG_Value","acf_MG_Threshold","acf_MG_Status","acf_Sodium_Lag","acf_Sodium_Value","acf_Sodium_Threshold","acf_Sodium_Status"
1,"IN34","2007-09-18","2010-09-18",3,15,0.2962,0.1895,"PASS",29,0.1198,0.1895,"FAIL",32,0.1515,0.1895,"FAIL",15,0.2622,0.1895,"PASS",15,0.2022,0.1895,"PASS",15,0.2789,0.1895,"PASS",15,0.1671,0.1895,"FAIL"
2,"MA98","2016-08-30","2019-08-30",3,11,0.1999,0.1687,"PASS",11,0.1584,0.1675,"FAIL",11,0.1771,0.1675,"PASS",50,0.1995,0.17,"PASS",46,0.1561,0.17,"FAIL",7,0.2055,0.17,"PASS",7,0.2149,0.17,"PASS"
3,"ME02","1999-12-28","2002-12-28",3,7,0.2154,0.1836,"PASS",35,0.2176,0.1836,"PASS",NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,"FAIL BOXCOX",42,0.1752,0.1836,"FAIL"
4,"NC25","2019-05-28","2022-05-28",3,38,0.197,0.1739,"PASS",42,0.2001,0.1739,"PASS",38,0.2267,0.1739,"PASS",38,0.2295,0.1739,"PASS",38,0.2158,0.1739,"PASS",NA,NA,NA,"FAIL BOXCOX",38,0.2504,0.1739,"PASS"
5,"NC41","2008-01-08","2011-01-08",3,10,0.205,0.1922,"PASS",47,0.2148,0.1922,"PASS",16,0.3082,0.1922,"PASS",4,0.1806,0.1922,"FAIL",4,0.2885,0.1922,"PASS",4,0.3262,0.1922,"PASS",4,0.2334,0.1922,"PASS"
6,"NY20","2017-07-18","2020-07-18",3,26,0.2103,0.1719,"PASS",19,0.2512,0.1719,"PASS",19,0.2691,0.1719,"PASS",NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,"FAIL BOXCOX",22,0.2042,0.1719,"PASS"
7,"NY20","2013-12-24","2016-12-24",3,32,0.1597,0.1639,"FAIL",14,0.2319,0.1639,"PASS",14,0.1579,0.1639,"FAIL",32,0.1565,0.1639,"FAIL",NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,"FAIL BOXCOX",66,0.1969,0.1639,"PASS"
8,"NY20","2004-06-15","2007-06-15",3,10,0.2236,0.1732,"PASS",13,0.2495,0.1732,"PASS",10,0.2051,0.1732,"PASS",18,0.235,0.1732,"PASS",NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,"FAIL BOXCOX",23,0.1968,0.1732,"PASS"
9,"NY28","2015-03-17","2018-03-17",3,14,0.1731,0.17,"PASS",55,0.1952,0.17,"PASS",12,0.2177,0.17,"PASS",17,0.1542,0.1712,"FAIL",NA,NA,NA,"FAIL BOXCOX",17,0.2905,0.1712,"PASS",NA,NA,NA,"FAIL BOXCOX"
10,"NY43","2017-09-19","2020-09-19",3,14,0.2172,0.1797,"PASS",14,0.1835,0.1797,"PASS",35,0.2528,0.1797,"PASS",11,0.1784,0.1797,"FAIL",25,0.1819,0.1797,"PASS",14,0.1696,0.1797,"FAIL",NA,NA,NA,"FAIL BOXCOX"
11,"NY68","2006-09-05","2009-09-05",3,8,0.3084,0.1746,"PASS",26,0.2224,0.1746,"PASS",8,0.2189,0.1746,"PASS",6,0.1842,0.1746,"PASS",8,0.2727,0.1746,"PASS",6,0.3624,0.1746,"PASS",6,0.2089,0.1746,"PASS"
12,"NY98","2014-11-25","2017-11-25",3,17,0.194,0.1681,"PASS",17,0.1915,0.1681,"PASS",17,0.1366,0.1681,"FAIL",27,0.1586,0.1681,"FAIL",48,0.1384,0.1681,"FAIL",29,0.2102,0.1681,"PASS",NA,NA,NA,"FAIL BOXCOX"
13,"NY98","2011-11-25","2014-11-25",3,32,0.2879,0.1746,"PASS",54,0.2598,0.1746,"PASS",32,0.2305,0.1746,"PASS",32,0.2317,0.1746,"PASS",22,0.2323,0.1746,"PASS",32,0.1491,0.1746,"FAIL",64,0.1282,0.1746,"FAIL"
14,"NY98","2008-11-25","2011-11-25",3,10,0.2051,0.1844,"PASS",26,0.1352,0.1844,"FAIL",31,0.188,0.1844,"PASS",51,0.1486,0.1844,"FAIL",6,0.2884,0.1844,"PASS",NA,NA,NA,"FAIL BOXCOX",8,0.2585,0.1844,"PASS"
15,"NY98","2003-04-15","2006-04-15",3,11,0.2028,0.17,"PASS",11,0.221,0.17,"PASS",11,0.2143,0.17,"PASS",NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,"FAIL BOXCOX",27,0.241,0.17,"PASS"
16,"PA42","2001-12-31","2004-12-31",3,60,0.2407,0.1726,"PASS",47,0.1616,0.1726,"FAIL",47,0.2139,0.1726,"PASS",NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,"FAIL BOXCOX",34,0.154,0.1726,"FAIL",45,0.189,0.1726,"PASS"
17,"PR20","2009-05-08","2012-05-08",3,5,0.2461,0.1668,"PASS",13,0.2294,0.1668,"PASS",NA,NA,NA,"FAIL BOXCOX",8,0.277,0.1668,"PASS",8,0.2891,0.1668,"PASS",8,0.2417,0.1668,"PASS",8,0.2066,0.1668,"PASS"
18,"VA00","2019-12-20","2022-12-20",3,20,0.2387,0.1869,"PASS",42,0.2187,0.1869,"PASS",20,0.28,0.1869,"PASS",20,0.1713,0.1869,"FAIL",5,0.2411,0.1869,"PASS",NA,NA,NA,"FAIL BOXCOX",18,0.2779,0.1869,"PASS"
19,"VA28","2002-11-12","2005-11-12",3,15,0.3394,0.1774,"PASS",15,0.379,0.1774,"PASS",15,0.2176,0.1774,"PASS",NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,"FAIL BOXCOX",14,0.2167,0.1774,"PASS"
20,"VT99","2012-03-27","2015-03-27",3,7,0.1716,0.1681,"PASS",37,0.1409,0.1681,"FAIL",7,0.1835,0.1681,"PASS",44,0.1708,0.1681,"PASS",15,0.2912,0.1681,"PASS",44,0.1711,0.1681,"PASS",15,0.1744,0.1681,"PASS"
21,"VT99","2005-03-15","2008-03-15",3,26,0.2542,0.17,"PASS",13,0.2136,0.17,"PASS",26,0.251,0.17,"PASS",26,0.1889,0.17,"PASS",34,0.1703,0.17,"PASS",26,0.1754,0.17,"PASS",10,0.1934,0.17,"PASS"
22,"WI35","2012-10-02","2015-10-02",3,15,0.2443,0.1869,"PASS",4,0.3041,0.1869,"PASS",19,0.2363,0.1869,"PASS",4,0.3132,0.1869,"PASS",4,0.1577,0.1869,"FAIL",NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,"FAIL BOXCOX"
