"Seg_ID","SITE_ID","Start_Date","End_Date","Num_Years","fft_CA_Period","fft_CA_Power","fft_CA_Threshold","fft_CA_Status","fft_K_Period","fft_K_Power","fft_K_Threshold","fft_K_Status","fft_MG_Period","fft_MG_Power","fft_MG_Threshold","fft_MG_Status","fft_NH4_Period","fft_NH4_Power","fft_NH4_Threshold","fft_NH4_Status","fft_NO3_Period","fft_NO3_Power","fft_NO3_Threshold","fft_NO3_Status","fft_SO4_Period","fft_SO4_Power","fft_SO4_Threshold","fft_SO4_Status","fft_Sodium_Period","fft_Sodium_Power","fft_Sodium_Threshold","fft_Sodium_Status"
1,"IN34","2007-09-18","2010-09-18",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"MA98","2016-08-30","2019-08-30",3,53.33,9.042482,8.034356,"[PASS]",26.67,18.213703,10.060058,"[PASS]",26.67,6.648376,3.641809,"[PASS]",53.33,6.36794,3.538827,"[PASS]",53.33,3.160529,3.02633,"[PASS]",10,1.57704,2.17319,"FAIL (Low SNR)",53.33,18.882967,4.436085,"[PASS]"
3,"ME02","1999-12-28","2002-12-28",3,NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"NC25","2019-05-28","2022-05-28",3,6.67,6.481774,5.436848,"[PASS]",53.33,35.801759,22.924392,"[PASS]",NA,NA,NA,"FAIL BOXCOX",5.52,1.457467,1.676644,"FAIL (Low SNR)",53.33,3.120297,1.674936,"[PASS]",6.67,1.261363,1.29926,"FAIL (Low SNR)",53.33,4.400874,2.569301,"[PASS]"
5,"NC41","2008-01-08","2011-01-08",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"NY20","2017-07-18","2020-07-18",3,NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,"FAIL BOXCOX",53.33,4.315198,1.785574,"[PASS]",26.67,2.576,1.456741,"[PASS]",17.78,1.393556,1.007119,"[PASS]",53.33,35.930964,17.342771,"[PASS]"
7,"NY20","2013-12-24","2016-12-24",3,20,17.080975,12.17219,"[PASS]",NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,"FAIL BOXCOX",53.33,6.350293,3.195868,"[PASS]",80,2.579866,1.968185,"[PASS]",53.33,2.204518,2.101491,"[PASS]",53.33,80.194867,27.810544,"[PASS]"
8,"NY20","2004-06-15","2007-06-15",3,53.33,27.411043,5.91925,"[PASS]",NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,"FAIL BOXCOX",53.33,3.641135,1.774217,"[PASS]",53.33,4.004536,2.336995,"[PASS]",53.33,9.162691,2.953143,"[PASS]",53.33,23.118498,9.816274,"[PASS]"
9,"NY28","2015-03-17","2018-03-17",3,53.33,4.573678,4.147165,"[PASS]",NA,NA,NA,"FAIL BOXCOX",53.33,5.842166,6.656717,"FAIL (Low SNR)",53.33,1.615033,1.431425,"[PASS]",53.33,1.965962,1.684659,"[PASS]",5.93,0.837361,1.465988,"FAIL (Low SNR)",NA,NA,NA,"FAIL BOXCOX"
10,"NY43","2017-09-19","2020-09-19",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FAIL BOXCOX"
11,"NY68","2006-09-05","2009-09-05",3,53.33,5.686681,3.053971,"[PASS]",53.33,2.07644,0.991962,"[PASS]",7.62,0.867983,0.498278,"[PASS]",7.27,1.803749,1.583561,"[PASS]",7.27,1.836551,2.171389,"FAIL (Low SNR)",53.33,5.380384,2.717756,"[PASS]",53.33,6.427112,2.341532,"[PASS]"
12,"NY98","2014-11-25","2017-11-25",3,26.67,5.241122,3.484319,"[PASS]",26.67,72.149416,24.600143,"[PASS]",26.67,8.232026,3.827567,"[PASS]",53.33,2.005091,1.444145,"[PASS]",80,2.488213,1.800408,"[PASS]",26.67,1.390432,1.38666,"[PASS]",NA,NA,NA,"FAIL BOXCOX"
13,"NY98","2011-11-25","2014-11-25",3,53.33,4.268465,4.328206,"FAIL (Low SNR)",26.67,6.90297,3.224816,"[PASS]",5.33,10.682046,6.477047,"[PASS]",8.42,3.351119,2.138263,"[PASS]",53.33,6.259928,1.715056,"[PASS]",8.42,1.864859,1.512764,"[PASS]",53.33,91.884422,10.252403,"[PASS]"
14,"NY98","2008-11-25","2011-11-25",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"NY98","2003-04-15","2006-04-15",3,NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,"FAIL BOXCOX",53.33,3.941911,1.449026,"[PASS]",53.33,3.112355,1.955487,"[PASS]",53.33,6.486525,2.522346,"[PASS]",53.33,39.807224,8.159331,"[PASS]"
16,"PA42","2001-12-31","2004-12-31",3,NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,"FAIL BOXCOX",53.33,10.40681,3.044013,"[PASS]",53.33,3.098277,0.956961,"[PASS]",17.78,1.812371,1.582473,"[PASS]",53.33,17.22217,2.911505,"[PASS]",53.33,19.234197,4.878765,"[PASS]"
