SITE_ID,SITE_NAME,ACTIVE,AGENCY,STATE,LATITUDE,LONGITUDE,AQS_ID,START_DATE,END_DATE
HAS012,Haskell Indian Nations University,Active,EPA,KS,38.9349,-95.2309,200459991,11/12/24,
CNS011,Canaveral National Seashore,Active,EPA,FL,28.6443,-80.6832,120099991,8/27/24,
SAN192,Santee Sioux - Environmental Office,Active,EPA,NE,42.7466,-97.928,311079992,6/5/24,
LPO010,La Posta Band of Indians,Active,EPA,CA,32.7252,-116.3644,060739991,1/27/23,
CAV436,Carlsbad Caverns NP,Active,NPS,NM,32.1783,-104.4406,350150010,3/4/21,
UMA009,Confederated Tribes of the Umatilla Indian Reservation,Active,EPA,WA,46.203,-117.9549,530139991,11/4/20,
ALB801,Elk Island,Active,EPA,AB,53.6824,-112.868,,11/5/19,
CRM435,Craters of the Moon NM and Preserve,Active,NPS,ID,43.4606,-113.5622,160230101,11/1/19,
GRT434,Grand Teton NP,Active,NPS,WY,43.6708,-110.5995,560390008,7/1/19,
ZIO433,Zion NP - Dalton's Wash,Active,NPS,UT,37.1983,-113.1506,490530130,1/1/18,
DUK008,Duke Forest,Active,EPA,NC,35.9736,-79.1004,371359991,4/3/17,
CHC432,Chaco Culture NHP,Active,NPS,NM,36.035,-107.9042,350450020,2/23/17,
NPT006,Nez Perce Tribe,Active,EPA,ID,46.276,-116.0202,160499991,12/15/15,
WFM007,Whiteface Mountain Summit,Inactive,EPA,NY,44.39,-73.86,,6/4/15,10/3/17
COW005,Coweeta Screwdriver Knob,Inactive,EPA,NC,35.04826,-83.45428,,11/18/14,8/16/16
RED004,Red Lake Nation,Active,EPA,MN,47.8638,-94.8354,270079991,8/26/14,
KIC003,Kickapoo Tribe of Indians of the Kickapoo Reservation in Kansas,Inactive,EPA,KS,39.8539,-95.6578,200139991,2/18/14,3/25/24
DIN431,Dinosaur NM,Active,NPS,UT,40.4373,-109.3046,490471002,11/20/13,
NIC001,Nicks Lake,Active,EPA,NY,43.6859,-74.9857,360430005,11/20/12,
UND002,Underhill,Inactive,EPA,VT,44.5283,-72.8688,500070007,11/13/12,5/10/22
YOS204,Yosemite NP Collocated,Inactive,NPS,CA,37.7133,-119.7061,060430003,6/20/12,4/30/13
HOW191,Howland Ameriflux,Inactive,EPA,ME,45.203963,-68.740041,,9/27/11,3/31/19
PAL190,Palo Duro,Active,EPA,TX,34.8806,-101.6647,483819991,4/24/07,
SAN189,"Santee Sioux Nation, Nebraska",Inactive,EPA,NE,42.829154,-97.854128,311079991,7/5/06,5/1/24
BEL216,Beltsville Collocated,Inactive,EPA,MD,39.028177,-76.817127,,6/16/05,10/19/06
SEK430,Sequoia NP - Ash Mountain,Active,NPS,CA,36.489469,-118.829153,061070009,3/1/05,
KVA428,Kobuk Valley NP,Inactive,NPS,AK,67.0931,-157.8689,,5/18/04,9/30/05
ALC188,Alabama-Coushatta,Active,EPA,TX,30.7017,-94.6741,483739991,4/2/04,
WNC429,Wind Cave NP,Inactive,NPS,SD,43.557639,-103.483856,460330132,11/1/03,1/16/23
CON186,Converse Station,Inactive,EPA,CA,34.194048,-116.912977,060719010,6/17/03,1/31/11
PET427,Petrified Forest,Inactive,NPS,AZ,34.8225,-109.8925,040170119,9/12/02,1/2/24
MAC426,Mammoth Cave NP,Active,NPS,KY,37.1318,-86.143,210610501,7/1/02,
HWF187,Huntington Wildlife Forest,Inactive,EPA,NY,43.973044,-74.223317,360319991,5/28/02,5/10/22
CHE185,Cherokee Nation,Active,EPA,OK,35.7508,-94.6698,400019009,4/2/02,
KNZ184,Konza Prairie,Active,EPA,KS,39.1022,-96.6096,201619991,3/26/02,
IRL141,Indian River Lagoon,Active,EPA,FL,27.8491,-80.4554,120619991,7/8/01,
POF425,Poker Flats - Yukon Flats NM,Inactive,NPS,AK,65.1178,-147.4333,,7/1/01,2/29/04
ROM206,Rocky Mtn NP Collocated,Active,EPA,CO,40.2781,-105.5456,080690007,6/26/01,
HOX148,Hoxeyville,Active,EPA,MI,44.1808,-85.739,261659991,10/28/00,
HVT424,Hawaii Volcanoes NP,Inactive,NPS,HI,19.4197,-155.24,,8/3/99,7/17/04
OLY421,Olympic NP,Inactive,NPS,WA,48.0975,-123.4256,530090012,10/6/98,2/28/05
THR422,Theodore Roosevelt NP,Active,NPS,ND,46.894844,-103.377719,380070002,8/1/98,
VII423,Virgin Islands NP - Lind Pt,Inactive,NPS,VI,18.3364,-64.7964,,4/1/98,1/31/04
ACA416,Acadia NP,Active,NPS,ME,44.377086,-68.2608,230090103,2/1/98,
DEN417,Denali NP,Active,NPS,AK,63.7232,-148.9676,020680003,1/1/98,
EVE419,Everglades NP,Active,NPS,FL,25.391223,-80.680819,,1/1/98,
GRS420,Great Smoky NP - Look Rock,Active,NPS,TN,35.633482,-83.941606,470090101,1/1/98,
SEK402,Sequoia NP - Lookout Pt,Inactive,NPS,CA,36.4292,-118.7625,061070008,2/1/97,2/22/05
VOY413,Voyageurs NP,Active,NPS,MN,48.412518,-92.829225,271370034,6/1/96,
YEL408,Yellowstone NP,Active,NPS,WY,44.565356,-110.400338,560391011,6/1/96,
NCS415,North Cascades NP,Inactive,NPS,WA,48.54051,-121.445652,530570013,2/1/96,12/31/07
YOS404,Yosemite NP - Turtleback Dome,Active,NPS,CA,37.713251,-119.706196,060430003,9/25/95,
SIK270,Sikes Collocated,Inactive,EPA,LA,32.0575,-92.4353,,9/6/95,4/25/00
ASH235,Ashland Collocated,Inactive,EPA,ME,46.603832,-68.413227,,9/5/95,7/31/01
MOR409,Mount Rainier NP,Inactive,NPS,WA,46.75838,-122.12429,530531010,8/1/95,10/1/13
BWR139,Blackwater NWR,Active,EPA,MD,38.4449,-76.1113,240199991,7/4/95,
BBE401,Big Bend NP,Active,NPS,TX,29.302651,-103.177813,480430101,7/1/95,
LAV410,Lassen Volcanic NP,Active,NPS,CA,40.539991,-121.576462,060893003,7/1/95,
PIN414,Pinnacles NM,Active,NPS,CA,36.483235,-121.156876,060690003,5/1/95,
GRB411,Great Basin NP,Active,NPS,NV,39.005121,-114.215932,320330101,4/1/95,
JOT403,Joshua Tree NP,Active,NPS,CA,34.069569,-116.388933,060719002,2/1/95,
EGB281,Egbert Collocated,Inactive,EPA,ON,44.231071,-79.783115,,1/3/95,12/18/07
DEV412,Death Valley NM,Active,NPS,CA,36.5089,-116.8478,060270101,1/1/95,1/9/08
CAN407,Canyonlands NP,Active,NPS,UT,38.458323,-109.82126,490370101,1/1/95,
MEV405,Mesa Verde NP,Active,NPS,CO,37.198398,-108.490462,080830101,1/1/95,
ROM406,Rocky Mtn NP,Active,NPS,CO,40.278129,-105.545635,080690007,10/1/94,
EGB181,Egbert,Active,EPA,ON,44.2309,-79.7833,,7/17/94,
CAT175,Claryville,Inactive,EPA,NY,41.9423,-74.552,361119991,5/1/94,9/15/25
QAK272,Quaker City Collocated,Inactive,EPA,OH,39.942714,-81.337914,,2/4/94,7/19/01
BFT142,Beaufort,Active,EPA,NC,34.8848,-76.6207,370319991,12/28/93,
ABT147,Abington,Active,EPA,CT,41.8405,-72.0104,090159991,12/21/93,
STK138,Stockton,Active,EPA,IL,42.2872,-89.9999,170859991,12/14/93,
LYE145,Lye Brook,Inactive,EPA,VT,43.050884,-73.061334,500039991,10/23/93,3/31/07
CDZ171,Cadiz,Inactive,EPA,KY,36.784053,-87.85015,212219991,9/28/93,5/10/22
CKT136,Crockett,Active,EPA,KY,37.9214,-83.0663,211759991,8/24/93,
QAK172,Quaker City,Active,EPA,OH,39.9428,-81.3379,391219991,7/28/93,
MCK231,Mackville Collocated,Active,EPA,KY,37.7047,-85.0487,212299991,12/19/92,
HOW132,Howland,Inactive,EPA,ME,45.215607,-68.70851,230199991,11/24/92,11/5/12
CND125,Candor,Active,EPA,NC,35.2631,-79.8365,371239991,9/20/90,
MCK131,Mackville,Active,EPA,KY,37.7047,-85.0487,212299991,7/30/90,
SPD111,Speedwell,Active,EPA,TN,36.4699,-83.8265,470259991,6/9/89,
GRC474,Grand Canyon NP,Active,NPS,AZ,36.058642,-112.183575,040058001,5/16/89,
GTH161,Gothic,Active,EPA,CO,38.9563,-106.9858,080519991,5/13/89,
CNT169,Centennial,Active,EPA,WY,41.3645,-106.24,560019991,5/9/89,
CHA467,Chiricahua NM,Active,NPS,AZ,32.009405,-109.389058,040038001,4/22/89,
SUM156,Sumatra,Active,EPA,FL,30.1106,-84.9901,120779991,12/27/88,
WST109,Woodstock,Active,EPA,NH,43.9446,-71.7007,330099991,12/21/88,
KEF112,Kane Exp. Forest,Active,EPA,PA,41.5981,-78.7678,420479991,12/19/88,
ASH135,Ashland,Inactive,EPA,ME,46.603832,-68.413227,230039991,12/18/88,5/10/22
WSP144,Wash. Crossing,Active,EPA,NJ,40.3123,-74.8727,340219991,12/1/88,
SND152,Sand Mountain,Active,EPA,AL,34.2885,-85.9697,010499991,11/17/88,
BEL116,Beltsville,Active,EPA,MD,39.0282,-76.8171,240339991,10/25/88,
PND165,Pinedale,Active,EPA,WY,42.929,-109.7878,560359991,10/21/88,
GLR468,Glacier NP,Active,NPS,MT,48.510301,-113.996807,300298001,10/12/88,
CVL151,Coffeeville,Active,EPA,MS,34.0027,-89.7992,281619991,10/1/88,
CAD150,Caddo Valley,Active,EPA,AR,34.1793,-93.0988,050199991,9/28/88,
PNF126,Cranberry,Inactive,EPA,NC,36.105435,-82.045015,370119991,9/24/88,5/10/22
PRK134,Perkinstown,Active,EPA,WI,45.2065,-90.5972,551199991,9/17/88,
LYK123,Lykens,Inactive,EPA,OH,40.916981,-82.998206,390338001,9/14/88,10/13/10
DCP114,Deer Creek,Inactive,EPA,OH,39.6359,-83.2606,390479991,9/14/88,5/10/22
WEL149,Wellston,Inactive,EPA,MI,44.2249,-85.8198,261018001,5/24/88,10/10/00
ARE128,Arendtsville,Active,EPA,PA,39.9232,-77.3079,420019991,5/21/88,
UVL124,Unionville,Active,EPA,MI,43.6136,-83.36,261579991,5/20/88,
SHN418,Shenandoah NP - Big Meadows,Active,NPS,VA,38.5231,-78.43471,511130003,5/17/88,
ALH157,Alhambra,Inactive,EPA,IL,38.869,-89.6228,171199991,5/12/88,12/6/22
SAL133,Salamonie Reservoir,Active,EPA,IN,40.816,-85.6614,181699991,5/3/88,
GAS153,Georgia Station,Active,EPA,GA,33.1811,-84.41,132319991,4/21/88,
ANA115,Ann Arbor,Active,EPA,MI,42.4167,-83.9022,261619991,4/14/88,
ESP127,Edgar Evins,Active,EPA,TN,36.0389,-85.7331,470419991,3/15/88,
BVL130,Bondville,Active,EPA,IL,40.052,-88.3724,170191001,2/1/88,
MKG113,M.K. Goddard,Active,EPA,PA,41.4268,-80.1452,420859991,1/8/88,
