SITE_ID,DATEON,DATEOFF,variable_SO2,variable_SO4,variable_HNO3,variable_NO3,variable_TNO3,variable_NH4,variable_CA,variable_K,variable_MG,variable_Sodium,days_on_to_off,valid_on_off,days_to_next,valid_interval,imputation_data
ABT147,2000-01-04,2000-01-11,9.858,1.993,1.22,2.418,3.618,1.172,0.086,0.055,0.041,0.253,7,True,7.0,True,False
ABT147,2000-01-11,2000-01-18,3.56,1.15,0.792,0.84,1.62,0.423,0.112,0.048,0.038,0.503,7,True,7.0,True,False
ABT147,2000-01-18,2000-01-25,9.233,2.073,1.399,1.621,2.998,0.839,0.067,0.074,0.028,0.687,7,True,7.0,True,False
ABT147,2000-01-25,2000-02-01,8.266,2.275,1.247,0.56,1.787,0.844,0.041,0.039,0.012,0.366,7,True,7.0,True,False
ABT147,2000-02-01,2000-02-08,11.165,2.094,2.303,1.684,3.95,0.911,0.081,0.041,0.02,0.444,7,True,7.0,True,False
ABT147,2000-02-08,2000-02-15,9.725,3.767,2.872,2.88,5.706,1.489,0.13,0.087,0.079,0.721,7,True,7.0,True,False
ABT147,2000-02-15,2000-02-22,6.143,3.346,2.232,1.122,3.318,1.248,0.049,0.038,0.018,0.31,7,True,7.0,True,False
ABT147,2000-02-22,2000-02-29,11.436,5.176,1.33,3.615,4.924,2.603,0.134,0.066,0.05,0.307,7,True,7.0,True,False
ABT147,2000-02-29,2000-03-07,2.227,0.966,0.94,0.35,1.275,0.409,0.081,0.023,0.019,0.135,7,True,7.0,True,False
ABT147,2000-03-07,2000-03-14,5.401,2.2,1.67,1.629,3.273,0.777,0.126,0.053,0.07,0.473,7,True,7.0,True,False
ABT147,2000-03-14,2000-03-21,4.831,2.439,1.6,2.183,3.757,1.024,0.095,0.065,0.093,0.967,7,True,7.0,True,False
ABT147,2000-03-21,2000-03-28,2.86,3.271,0.951,2.567,3.503,1.175,0.153,0.073,0.115,0.951,7,True,7.0,True,False
ABT147,2000-03-28,2000-04-04,3.15,3.459,1.885,2.366,4.221,1.584,0.126,0.05,0.064,0.387,7,True,7.0,True,False
