SITE_ID,variable,week,seasonal_mean
ABT147,CA,1,0.0701
ABT147,CA,2,0.0682
ABT147,CA,3,0.0691
ABT147,CA,4,0.0801
ABT147,CA,5,0.0866
ABT147,CA,6,0.0803
ABT147,CA,7,0.0878
ABT147,CA,8,0.0847
ABT147,CA,9,0.0952
ABT147,CA,10,0.1048
ABT147,CA,11,0.1175
ABT147,CA,12,0.1055
ABT147,CA,13,0.0997
ABT147,CA,14,0.1097
ABT147,CA,15,0.134
ABT147,CA,16,0.1558
ABT147,CA,17,0.1145
ABT147,CA,18,0.1151
ABT147,CA,19,0.1148
ABT147,CA,20,0.0979
ABT147,CA,21,0.1015
ABT147,CA,22,0.1019
ABT147,CA,23,0.0914
ABT147,CA,24,0.0867
ABT147,CA,25,0.0917
ABT147,CA,26,0.1008
ABT147,CA,27,0.0902
ABT147,CA,28,0.0841
ABT147,CA,29,0.103
ABT147,CA,30,0.0799
ABT147,CA,31,0.094
ABT147,CA,32,0.0796
ABT147,CA,33,0.0848
ABT147,CA,34,0.0894
ABT147,CA,35,0.0815
ABT147,CA,36,0.0954
ABT147,CA,37,0.0773
ABT147,CA,38,0.0878
ABT147,CA,39,0.0815
ABT147,CA,40,0.1157
ABT147,CA,41,0.1156
ABT147,CA,42,0.1091
ABT147,CA,43,0.0897
ABT147,CA,44,0.1006
ABT147,CA,45,0.1026
ABT147,CA,46,0.0917
ABT147,CA,47,0.0812
ABT147,CA,48,0.0696
ABT147,CA,49,0.0748
ABT147,CA,50,0.0653
ABT147,CA,51,0.0738
ABT147,CA,52,0.0537
ABT147,CA,53,0.0542
ABT147,HNO3,1,0.9149
ABT147,HNO3,2,0.825
ABT147,HNO3,3,0.8874
ABT147,HNO3,4,1.2287
ABT147,HNO3,5,1.2403
ABT147,HNO3,6,1.1061
ABT147,HNO3,7,1.1008
ABT147,HNO3,8,1.1398
ABT147,HNO3,9,1.0403
ABT147,HNO3,10,1.1748
ABT147,HNO3,11,1.2135
ABT147,HNO3,12,0.8351
ABT147,HNO3,13,0.9385
ABT147,HNO3,14,0.8646
ABT147,HNO3,15,0.9453
ABT147,HNO3,16,1.1219
ABT147,HNO3,17,1.0055
ABT147,HNO3,18,1.1657
ABT147,HNO3,19,1.0398
ABT147,HNO3,20,1.0047
ABT147,HNO3,21,1.042
ABT147,HNO3,22,1.1859
ABT147,HNO3,23,1.0911
ABT147,HNO3,24,1.0748
ABT147,HNO3,25,1.3966
ABT147,HNO3,26,1.4341
ABT147,HNO3,27,1.2058
ABT147,HNO3,28,1.2373
ABT147,HNO3,29,1.3126
ABT147,HNO3,30,1.3317
ABT147,HNO3,31,1.4283
ABT147,HNO3,32,1.0456
ABT147,HNO3,33,1.1606
ABT147,HNO3,34,1.1756
ABT147,HNO3,35,0.855
ABT147,HNO3,36,0.9411
ABT147,HNO3,37,0.7817
ABT147,HNO3,38,0.8832
ABT147,HNO3,39,0.7104
ABT147,HNO3,40,0.8906
ABT147,HNO3,41,0.9044
ABT147,HNO3,42,0.9017
ABT147,HNO3,43,0.818
ABT147,HNO3,44,0.9748
ABT147,HNO3,45,0.8665
ABT147,HNO3,46,0.866
ABT147,HNO3,47,0.8254
ABT147,HNO3,48,0.7338
ABT147,HNO3,49,0.9243
ABT147,HNO3,50,0.7418
ABT147,HNO3,51,0.8871
ABT147,HNO3,52,0.7608
ABT147,HNO3,53,0.7812
ABT147,K,1,0.0531
ABT147,K,2,0.0494
ABT147,K,3,0.0548
ABT147,K,4,0.0531
ABT147,K,5,0.0603
ABT147,K,6,0.0553
ABT147,K,7,0.0546
ABT147,K,8,0.0537
ABT147,K,9,0.052
ABT147,K,10,0.0506
ABT147,K,11,0.0486
ABT147,K,12,0.0427
ABT147,K,13,0.0425
ABT147,K,14,0.0428
ABT147,K,15,0.0446
ABT147,K,16,0.053
