SITE_ID,variable,week,slope,intercept,n_obs,seasonal_mean
ABT147,CA,1,-0.001028,2.1384,27,0.0702
ABT147,CA,2,-0.000712,1.5024,27,0.0685
ABT147,CA,3,0.000653,-1.2459,27,0.0688
ABT147,CA,4,-0.001475,3.0493,27,0.0808
ABT147,CA,5,0.00047,-0.859,25,0.0868
ABT147,CA,6,-0.001115,2.3247,26,0.0803
ABT147,CA,7,0.000122,-0.1578,26,0.0878
ABT147,CA,8,-0.000253,0.5949,24,0.0847
ABT147,CA,9,9.4e-05,-0.0947,26,0.0952
ABT147,CA,10,2e-06,0.1006,26,0.1048
ABT147,CA,11,0.000346,-0.5795,26,0.1175
ABT147,CA,12,-0.000335,0.7805,26,0.1055
ABT147,CA,13,-0.000784,1.678,26,0.0997
ABT147,CA,14,-0.001627,3.3847,25,0.1097
ABT147,CA,15,0.003863,-7.6424,25,0.1326
ABT147,CA,16,-0.003737,7.6774,26,0.1556
ABT147,CA,17,-0.001821,3.7797,26,0.1144
ABT147,CA,18,-0.004754,9.6829,26,0.1149
ABT147,CA,19,0.000548,-0.9875,26,0.1148
ABT147,CA,20,0.001979,-3.8851,26,0.098
ABT147,CA,21,0.001022,-1.9564,25,0.1011
ABT147,CA,22,-0.000299,0.7033,26,0.1019
ABT147,CA,23,-0.000307,0.7102,25,0.0915
ABT147,CA,24,0.001177,-2.2822,26,0.0867
ABT147,CA,25,0.000219,-0.35,26,0.0917
ABT147,CA,26,-0.001903,3.9297,26,0.1007
ABT147,CA,27,-0.003125,6.3795,26,0.0901
ABT147,CA,28,-0.000419,0.927,26,0.0841
ABT147,CA,29,-2.7e-05,0.158,26,0.103
ABT147,CA,30,-0.00022,0.5236,25,0.0799
ABT147,CA,31,-0.000693,1.4883,25,0.0941
ABT147,CA,32,-0.001703,3.5066,25,0.0796
ABT147,CA,33,-0.001777,3.6612,26,0.0848
ABT147,CA,34,-9.3e-05,0.2769,25,0.0894
ABT147,CA,35,0.001382,-2.699,25,0.0815
ABT147,CA,36,-0.000134,0.3647,25,0.0954
ABT147,CA,37,-0.000815,1.7175,25,0.0772
ABT147,CA,38,0.001377,-2.6829,26,0.0879
ABT147,CA,39,0.001546,-3.0298,26,0.0815
ABT147,CA,40,0.001469,-2.84,25,0.1162
ABT147,CA,41,-0.001467,3.0669,25,0.1152
ABT147,CA,42,0.003879,-7.6973,25,0.1103
ABT147,CA,43,0.002068,-4.0727,25,0.0898
ABT147,CA,44,-0.001107,2.3278,25,0.1005
ABT147,CA,45,0.002243,-4.4115,25,0.1029
ABT147,CA,46,-0.001071,2.2462,25,0.0915
ABT147,CA,47,-0.000508,1.1036,26,0.0812
ABT147,CA,48,-0.000564,1.2041,26,0.0696
ABT147,CA,49,-0.000396,0.8722,26,0.0748
ABT147,CA,50,0.001012,-1.9719,26,0.0654
ABT147,CA,51,-0.000185,0.446,26,0.0738
ABT147,CA,52,-0.00066,1.3818,25,0.0534
ABT147,CA,53,-0.00311,6.3107,4,0.0526
ABT147,HNO3,1,-0.049195,99.9301,27,0.9228
ABT147,HNO3,2,-0.041321,84.0044,27,0.8439
ABT147,HNO3,3,-0.043234,87.9171,27,0.9072
ABT147,HNO3,4,-0.066137,134.3633,27,1.259
ABT147,HNO3,5,-0.075294,152.74,25,1.2085
ABT147,HNO3,6,-0.059645,121.1426,26,1.1036
ABT147,HNO3,7,-0.06617,134.2685,26,1.0981
ABT147,HNO3,8,-0.064221,130.3904,24,1.1424
ABT147,HNO3,9,-0.060816,123.432,26,1.0377
ABT147,HNO3,10,-0.062358,126.6702,26,1.1722
ABT147,HNO3,11,-0.077555,157.2927,26,1.2103
ABT147,HNO3,12,-0.04461,90.6133,26,0.8332
ABT147,HNO3,13,-0.067468,136.7179,26,0.9356
ABT147,HNO3,14,-0.055455,112.472,25,0.8655
ABT147,HNO3,15,-0.050535,102.6672,25,0.9644
ABT147,HNO3,16,-0.0877,177.6185,26,1.1182
ABT147,HNO3,17,-0.057168,116.0551,26,1.0031
ABT147,HNO3,18,-0.102888,208.2268,26,1.1613
ABT147,HNO3,19,-0.075058,152.0936,26,1.0367
ABT147,HNO3,20,-0.050443,102.5207,26,1.0026
ABT147,HNO3,21,-0.063155,128.1682,25,1.0659
ABT147,HNO3,22,-0.078654,159.4771,26,1.1826
ABT147,HNO3,23,-0.070188,142.359,25,1.1036
ABT147,HNO3,24,-0.083147,168.4075,26,1.0713
ABT147,HNO3,25,-0.103864,210.4221,26,1.3922
ABT147,HNO3,26,-0.113903,230.663,26,1.4293
ABT147,HNO3,27,-0.059796,121.5444,26,1.2033
ABT147,HNO3,28,-0.049438,100.7305,26,1.2352
ABT147,HNO3,29,-0.078729,159.7552,26,1.3093
ABT147,HNO3,30,-0.086191,174.7955,25,1.3333
ABT147,HNO3,31,-0.104307,211.3524,25,1.4301
ABT147,HNO3,32,-0.072282,146.5168,25,1.0468
ABT147,HNO3,33,-0.077323,156.7733,26,1.1573
ABT147,HNO3,34,-0.083408,169.0383,25,1.1771
ABT147,HNO3,35,-0.045272,91.9685,25,0.8558
ABT147,HNO3,36,-0.080053,162.0478,26,0.9377
ABT147,HNO3,37,-0.035546,72.318,26,0.7802
ABT147,HNO3,38,-0.067497,136.7204,26,0.8803
ABT147,HNO3,39,-0.050851,103.0479,26,0.7083
ABT147,HNO3,40,-0.072077,145.9259,25,0.8689
ABT147,HNO3,41,-0.087983,177.9476,25,0.8778
ABT147,HNO3,42,-0.050889,103.3029,25,0.8863
ABT147,HNO3,43,-0.046627,94.6534,25,0.8151
ABT147,HNO3,44,-0.061338,124.4195,25,0.9734
ABT147,HNO3,45,-0.030291,61.8248,25,0.8622
