network,SITE_ID,siteName,status,startDate,stopDate,county,state,LATITUDE,LONGITUDE,elevation,stateName,siteClass
NTN,NM09,Cuba,I,2/3/82,4/4/00,Sandoval,NM,36.0408,-106.9714,2124,New Mexico,I
NTN,ND07,Theodore Roosevelt National Park-North Unit Headquarters,I,5/5/81,12/12/00,McKenzie,ND,47.6014,-103.2642,611,North Dakota,I
NTN,TX38,Forest Seed Center,I,8/18/81,7/10/01,Nacogdoches,TX,31.5605,-94.8608,84,Texas,R
NTN,CAN4,Sutton,I,9/16/86,10/2/01,Brome,PQ,45.0761,-72.6756,244,Quebec,R
NTN,MD03,White Rock Substation,I,10/3/84,3/4/02,Carroll,MD,39.4089,-76.9953,172,Maryland,S
NTN,NV00,Red Rock Canyon,I,1/22/85,12/10/02,Clark,NV,36.1358,-115.4256,1137,Nevada,U
NTN,OR98,Bull Run,I,7/13/82,10/6/03,Clackamas,OR,45.4492,-122.1533,267,Oregon,R
NTN,OK08,Lake Eucha,I,2/1/00,1/28/04,Delaware,OK,36.3481,-94.8239,243,Oklahoma,R
NTN,NY65,Jasper,I,2/19/80,6/15/04,Steuben,NY,42.1064,-77.5358,634,New York,R
NTN,IL19,Argonne,I,3/11/80,9/28/04,Du Page,IL,41.7011,-87.9953,229,Illinois,U
NTN,HI99,Hawaii Volcanoes National Park-Thurston,I,11/21/00,2/15/05,Hawaii,HI,19.4194,-155.2403,1195,Hawaii,I
NTN,MN05,Fond du Lac,I,11/19/96,3/22/05,Carlton,MN,46.7131,-92.5108,390,Minnesota,R
NTN,WI97,Lac Courte Oreilles Reservation,I,11/27/01,3/22/05,Sawyer,WI,45.9944,-91.3711,418,Wisconsin,R
NTN,GA98,Skidaway,I,6/18/02,5/24/05,Chatham,GA,31.9958,-81.0185,3,Georgia,S
NTN,CA95,Death Valley National Park-Cow Creek,I,2/8/00,5/31/05,Inyo,CA,36.589,-116.978,125,California,I
NTN,AK99,Ambler,I,5/12/04,8/9/05,Northwest Arctic,AK,67.0931,-157.8689,88,Alaska,I
NTN,WI32,Middle Village,I,1/22/02,3/28/06,Shawano,WI,44.9308,-88.755,319,Wisconsin,R
NTN,ID15,Smiths Ferry,I,10/9/84,9/27/06,Valley,ID,44.2978,-116.0636,1442,Idaho,I
NTN,MI97,Isle Royale National Park-Wallace Lake,I,5/22/85,10/10/06,Keweenaw,MI,48.0575,-88.6342,201,Michigan,I
NTN,ME95,Wolapomomqot Ciw Wocuk,I,6/12/02,12/12/06,Penobscot,ME,45.3406,-67.9876,182,Maine,I
NTN,TX39,Texas A&M University-Corpus Christi,I,1/2/02,12/26/06,Nueces,TX,27.7125,-97.3291,5,Texas,S
NTN,SC99,Fort Johnson,I,3/19/02,3/20/07,Charleston,SC,32.7508,-79.8975,2,South Carolina,S
NTN,SC07,ACE Basin National Estuarine Research Reserve,I,12/31/01,12/25/07,Colleton,SC,32.5993,-80.4554,1,South Carolina,I
NTN,OR02,Alsea Guard Ranger Station,I,12/27/79,12/26/07,Benton,OR,44.3856,-123.6153,104,Oregon,I
NTN,MO43,Tyson Research Center,I,8/28/01,5/7/08,St. Louis,MO,38.5185,-90.5652,174,Missouri,U
NTN,DE99,Trap Pond State Park,I,5/27/03,9/23/08,Sussex,DE,38.4994,-75.4482,12,Delaware,R
NTN,SC11,North Inlet-Winyah Bay National Estuarine Research Reserve,I,1/8/02,1/8/09,Georgetown,SC,33.3497,-79.1888,0,South Carolina,R
NTN,CO18,Ripple Creek Pass,I,5/13/03,1/13/09,Rio Blanco,CO,40.0851,-107.3118,2929,Colorado,I
NTN,MI29,Peshawbestown,I,1/22/02,3/31/09,Leelanau,MI,45.0289,-85.6292,209,Michigan,R
NTN,VA27,James Madison University Farm,I,7/9/02,6/30/09,Rockingham,VA,38.3034,-78.8178,336,Virginia,R
NTN,VA10,Mason Neck,I,8/12/03,7/14/09,Fairfax,VA,38.6294,-77.2047,6,Virginia,U
NTN,OK99,Stilwell,I,5/22/07,7/28/09,Adair,OK,35.7508,-94.67,299,Oklahoma,R
NTN,AL02,Delta Elementary,I,6/5/01,1/5/10,Baldwin,AL,30.7907,-87.8498,66,Alabama,R
NTN,AL24,Bay Road,I,5/29/01,1/5/10,Mobile,AL,30.4746,-88.1411,6,Alabama,R
NTN,MA13,East,I,2/2/82,9/28/10,Middlesex,MA,42.3845,-71.2146,190,Massachusetts,U
NTN,OH15,Lykens,I,1/26/99,10/12/10,Crawford,OH,40.5502,-82.9982,303,Ohio,R
NTN,VA98,Harcum,I,8/31/04,8/29/11,Gloucester,VA,37.5312,-76.4928,13,Virginia,R
NTN,UT08,Murphy Ridge,I,3/25/86,6/26/12,Rich,UT,41.3586,-111.048,2146,Utah,R
NTN,CAN6,Frelighsburg - Intercomparison,I,10/6/11,9/18/12,Brome,PQ,45.0503,-72.8617,195,Quebec,R
NTN,NM01,Gila Cliff Dwellings National Monument,I,7/29/85,9/25/12,Catron,NM,33.2203,-108.2347,1772,New Mexico,I
NTN,NM12,Capulin Volcano National Monument,I,11/15/84,9/25/12,Union,NM,36.779,-103.981,2190,New Mexico,I
NTN,MD07,Catoctin Mountain Park,I,5/27/03,6/11/13,Frederick,MD,39.647,-77.4848,471,Maryland,R
NTN,WI09,Popple River,I,12/30/86,12/31/13,Florence,WI,45.7964,-88.3994,421,Wisconsin,I
NTN,WI25,Suring,I,1/23/85,12/31/13,Oconto,WI,45.052,-88.3726,262,Wisconsin,I
NTN,WI28,Lake Dubay,I,6/29/82,12/31/13,Portage,WI,44.7073,-89.7716,385,Wisconsin,R
NTN,WI98,Wildcat Mountain,I,8/1/89,12/31/13,Vernon,WI,43.7023,-90.5685,386,Wisconsin,R
NTN,WI99,Lake Geneva,I,6/5/84,12/31/13,Walworth,WI,42.5792,-88.5006,288,Wisconsin,R
NTN,CO89,Rocky Mountain National Park-Loch Vale,I,9/29/09,9/30/14,Larimer,CO,40.2878,-105.6628,3159,Colorado,I
NTN,NY29,Moss Lake,I,7/29/03,12/30/14,Herkimer,NY,43.7868,-74.8429,566,New York,I
NTN,AK06,Gates of the Arctic National Park - Bettles,I,11/4/08,10/27/15,Yukon-Koyukuk,AK,66.906,-151.683,630,Alaska,I
NTN,FL99,Kennedy Space Center,I,8/2/83,10/27/15,Brevard,FL,28.5428,-80.644,2,Florida,R
NTN,FL03,Bradford Forest,I,10/10/78,3/29/16,Bradford,FL,29.9748,-82.1978,44,Florida,R
NTN,IL18,Shabbona,I,5/26/81,3/29/16,De Kalb,IL,41.8414,-88.8511,265,Illinois,R
NTN,AL19,Birmingham,I,12/19/12,10/18/16,Jefferson,AL,33.553,-86.8148,200,Alabama,U
NTN,FL96,Pensacola,I,1/2/13,12/6/16,Escambia,FL,30.5499,-87.375,45,Florida,S
NTN,AL03,Centreville,I,2/22/11,12/13/16,Bibb,AL,32.9034,-87.2499,135,Alabama,R
NTN,IL63,Dixon Springs Agricultural Center,I,1/30/79,1/31/17,Pope,IL,37.4356,-88.6719,161,Illinois,I
NTN,GA33,Sapelo Island,I,11/26/02,2/21/17,McIntosh,GA,31.3961,-81.2811,3,Georgia,I
NTN,PA71,Little Buffalo State Park,I,7/26/11,5/29/17,Perry,PA,40.4603,-77.1692,155,Pennsylvania,R
NTN,PA60,Valley Forge,I,7/26/11,6/5/17,Montgomery,PA,40.1166,-75.8833,46,Pennsylvania,S
