SITE_ID,LATITUDE,LONGITUDE
AL10,32.4583,-87.2422
AL99,34.2886,-85.9699
AK01,65.155,-147.491
AK03,63.7232,-148.9676
AZ01,31.7089,-110.0572
AZ99,33.0708,-109.866
AZ03,36.0586,-112.184
AR02,33.605,-92.0972
AR03,34.1795,-93.0992
AR27,36.1011,-94.1737
CA34,37.3708,-118.3664
CA42,34.2071,-117.7618
CA68,33.3089,-116.8539
CA75,36.5661,-118.778
CA76,41.7662,-122.4798
CA85,34.0158,-119.3619
CA98,34.8061,-119.0114
CA88,38.5357,-121.7762
CA99,37.7961,-119.8581
CO00,37.4421,-105.868
CO01,38.1177,-103.316
CO94,39.9939,-105.48
CO92,39.4264,-107.3799
CO99,37.1979,-108.491
CO91,37.4686,-106.787
CO15,40.5077,-107.7025
CO97,40.5383,-106.6766
CO93,40.5347,-106.7811
CO95,37.6597,-107.7992
CO96,37.75,-107.689
CO21,39.1008,-105.0933
CO22,40.806,-104.756
FL00,29.7603,-82.1989
FL03,29.9748,-82.1978
FL99,28.5428,-80.644
FL11,25.39,-80.68
FL14,30.5486,-84.6004
GA20,32.0849,-81.9367
GA23,31.2253,-81.3922
GA41,33.1805,-84.4103
GA50,31.4731,-83.5331
GA99,31.5217,-83.5482
ON03,45.2239,-78.9311
CO98,40.2878,-105.6628
IN20,40.8401,-85.4639
OR02,44.3856,-123.6153
TN00,35.998,-84.2194
IL99,38.71,-88.7492
KS31,39.1022,-96.6092
NC06,34.8846,-76.6207
TN04,36.4698,-83.8272
CT15,41.84,-72.0101
FL23,30.1106,-84.9902
AZ06,31.9492,-112.802
ID03,43.4605,-113.5551
WA18,47.6843,-122.2588
FL98,27.31,-82.57
OH15,40.5502,-82.9982
PQ04,45.2,-74.0333
PA18,41.4142,-77.6799
OH54,39.6359,-83.2606
NY22,44.9226,-74.4806
CA66,36.4834,-121.157
LA05,30.1746,-93.1717
ME08,44.4003,-71.0098
TX21,32.3786,-94.7117
TX22,31.9069,-104.805
TX38,31.5605,-94.8608
TX51,33.2733,-99.2153
TX56,33.3917,-97.6397
UT99,37.6186,-112.1728
UT01,41.6661,-111.8914
UT02,39.1711,-110.6183
UT98,39.0001,-110.174
UT08,41.3586,-111.048
VT01,42.8761,-73.1633
VT99,44.5283,-72.8684
VA00,38.0402,-78.5427
VA13,37.3232,-80.4572
VA28,38.5231,-78.4348
VA29,36.6389,-81.6058
VA33,36.7367,-81.6869
WA14,47.8597,-123.9325
WA15,48.8433,-117.2839
WA19,48.5403,-121.446
WA21,46.8353,-122.2867
WA24,46.7606,-117.1847
WV04,37.9796,-80.9525
WV18,39.0897,-79.6622
WI09,45.7964,-88.3994
WI25,45.052,-88.3726
WI28,44.7073,-89.7716
WI36,46.0512,-89.6541
WI99,42.5792,-88.5006
WI37,45.8228,-91.8744
WY00,41.3762,-106.26
WY96,41.3403,-106.1908
WY95,41.3647,-106.2408
WY02,42.7336,-108.8498
WY97,42.4944,-108.832
WY06,42.929,-109.7875
WY98,43.2227,-109.9917
WY99,43.873,-104.1917
WY08,44.9166,-110.4203
CAN4,45.0761,-72.6756
PR20,18.3206,-65.82
CAN3,44.4328,-65.2056
NS01,44.403,-65.2027
CO08,39.4025,-107.3454
CO19,40.3639,-105.581
FL41,27.3801,-82.2831
NC34,35.697,-80.6225
