SITE_ID,variable,week,seasonal_mean
AB32,CA,1,1.5746
AB32,CA,2,1.3634
AB32,CA,3,1.3449
AB32,CA,4,1.3944
AB32,CA,5,2.7078
AB32,CA,6,1.3868
AB32,CA,7,2.6984
AB32,CA,8,4.1129
AB32,CA,9,4.6157
AB32,CA,10,6.4775
AB32,CA,11,2.5957
AB32,CA,12,6.0968
AB32,CA,13,4.8148
AB32,CA,14,1.6878
AB32,CA,15,2.0888
AB32,CA,16,5.0198
AB32,CA,17,1.8913
AB32,CA,18,4.062
AB32,CA,19,1.1784
AB32,CA,20,0.999
AB32,CA,21,0.5097
AB32,CA,22,0.3945
AB32,CA,23,1.3372
AB32,CA,24,0.7549
AB32,CA,25,0.8895
AB32,CA,26,0.8406
AB32,CA,27,1.2674
AB32,CA,28,0.779
AB32,CA,29,0.3865
AB32,CA,30,0.3873
AB32,CA,31,0.7087
AB32,CA,32,0.369
AB32,CA,33,0.5248
AB32,CA,34,0.9029
AB32,CA,35,0.2715
AB32,CA,36,0.789
AB32,CA,37,0.736
AB32,CA,38,1.4264
AB32,CA,39,0.7196
AB32,CA,40,0.8557
AB32,CA,41,0.8065
AB32,CA,42,0.9515
AB32,CA,43,1.1358
AB32,CA,44,0.9118
AB32,CA,45,3.2394
AB32,CA,46,3.308
AB32,CA,47,2.4878
AB32,CA,48,0.7425
AB32,CA,49,1.0501
AB32,CA,50,1.2244
AB32,CA,51,0.8776
AB32,CA,52,0.7233
AB32,CL,1,0.1986
AB32,CL,2,0.1955
AB32,CL,3,0.1706
AB32,CL,4,0.1466
AB32,CL,5,0.1725
AB32,CL,6,0.1473
AB32,CL,7,0.2961
AB32,CL,8,0.302
AB32,CL,9,0.501
AB32,CL,10,0.2337
AB32,CL,11,0.2605
AB32,CL,12,0.5345
AB32,CL,13,0.4472
AB32,CL,14,0.1058
AB32,CL,15,0.1083
AB32,CL,16,0.3078
AB32,CL,17,0.1597
AB32,CL,18,0.4547
AB32,CL,19,0.1082
AB32,CL,20,0.045
AB32,CL,21,0.0307
AB32,CL,22,0.0483
AB32,CL,23,0.1264
AB32,CL,24,0.0636
AB32,CL,25,0.091
AB32,CL,26,0.0551
AB32,CL,27,0.0925
AB32,CL,28,0.0563
AB32,CL,29,0.1329
AB32,CL,30,0.0429
AB32,CL,31,0.0529
AB32,CL,32,0.0363
AB32,CL,33,0.0517
AB32,CL,34,0.0817
AB32,CL,35,0.0445
AB32,CL,36,0.0655
AB32,CL,37,0.0554
AB32,CL,38,0.149
AB32,CL,39,0.071
AB32,CL,40,0.0643
AB32,CL,41,0.057
AB32,CL,42,0.0937
AB32,CL,43,0.0655
AB32,CL,44,0.1347
AB32,CL,45,0.3826
AB32,CL,46,0.1144
AB32,CL,47,0.0749
AB32,CL,48,0.0929
AB32,CL,49,0.1062
AB32,CL,50,0.0892
AB32,CL,51,0.2063
AB32,CL,52,0.1393
AB32,K,1,0.0546
AB32,K,2,0.0619
AB32,K,3,0.0672
AB32,K,4,0.0472
AB32,K,5,0.0654
AB32,K,6,0.0497
AB32,K,7,0.1187
AB32,K,8,0.0997
AB32,K,9,0.226
AB32,K,10,0.0967
AB32,K,11,0.048
AB32,K,12,0.1125
AB32,K,13,0.1347
AB32,K,14,0.0325
AB32,K,15,0.058
AB32,K,16,0.1255
AB32,K,17,0.0855
AB32,K,18,0.1278
AB32,K,19,0.0606
AB32,K,20,0.0283
AB32,K,21,0.0237
AB32,K,22,0.0917
AB32,K,23,0.1421
AB32,K,24,0.0423
AB32,K,25,0.065
AB32,K,26,0.0426
AB32,K,27,0.0488
AB32,K,28,0.0406
AB32,K,29,0.0287
AB32,K,30,0.0283
AB32,K,31,0.0526
AB32,K,32,0.0183
AB32,K,33,0.0183
AB32,K,34,0.0466
AB32,K,35,0.0193
AB32,K,36,0.039
AB32,K,37,0.0434
AB32,K,38,0.1043
AB32,K,39,0.0401
AB32,K,40,0.0683
AB32,K,41,0.0252
AB32,K,42,0.0405
AB32,K,43,0.0446
AB32,K,44,0.0235
AB32,K,45,0.0686
AB32,K,46,0.0832
AB32,K,47,0.0388
AB32,K,48,0.0274
AB32,K,49,0.0391
AB32,K,50,0.0453
AB32,K,51,0.0379
AB32,K,52,0.0347
AB32,MG,1,0.2126
AB32,MG,2,0.1868
AB32,MG,3,0.184
AB32,MG,4,0.218
AB32,MG,5,0.3916
AB32,MG,6,0.2228
AB32,MG,7,0.3394
AB32,MG,8,0.4849
AB32,MG,9,0.438
AB32,MG,10,0.4387
AB32,MG,11,0.2062
AB32,MG,12,0.327
AB32,MG,13,0.509
AB32,MG,14,0.1725
AB32,MG,15,0.266
AB32,MG,16,0.312
AB32,MG,17,0.2392
AB32,MG,18,0.1992
AB32,MG,19,0.1756
AB32,MG,20,0.0847
AB32,MG,21,0.0553
AB32,MG,22,0.0613
AB32,MG,23,0.1352
AB32,MG,24,0.0853
AB32,MG,25,0.1192
AB32,MG,26,0.0996
AB32,MG,27,0.1289
AB32,MG,28,0.0761
AB32,MG,29,0.059
AB32,MG,30,0.0531
AB32,MG,31,0.0956
AB32,MG,32,0.0475
AB32,MG,33,0.0748
AB32,MG,34,0.107
AB32,MG,35,0.045
AB32,MG,36,0.0939
AB32,MG,37,0.1016
AB32,MG,38,0.1404
AB32,MG,39,0.0957
AB32,MG,40,0.0882
AB32,MG,41,0.0872
AB32,MG,42,0.119
AB32,MG,43,0.1468
AB32,MG,44,0.0925
AB32,MG,45,0.2053
AB32,MG,46,0.2809
AB32,MG,47,0.1561
AB32,MG,48,0.0919
AB32,MG,49,0.1502
AB32,MG,50,0.1718
AB32,MG,51,0.1194
AB32,MG,52,0.1157
AB32,NH4,1,0.0726
AB32,NH4,2,0.0574
AB32,NH4,3,0.087
AB32,NH4,4,0.0466
AB32,NH4,5,0.0702
AB32,NH4,6,0.0848
AB32,NH4,7,0.1126
AB32,NH4,8,0.0924
AB32,NH4,9,0.453
AB32,NH4,10,0.0908
AB32,NH4,11,0.0892
AB32,NH4,12,0.7312
AB32,NH4,13,0.1625
AB32,NH4,14,0.308
AB32,NH4,15,0.2912
AB32,NH4,16,0.419
AB32,NH4,17,0.3275
AB32,NH4,18,0.3585
AB32,NH4,19,0.1588
AB32,NH4,20,0.706
AB32,NH4,21,0.3923
AB32,NH4,22,0.4142
AB32,NH4,23,0.7066
AB32,NH4,24,0.3474
AB32,NH4,25,0.1162
AB32,NH4,26,0.4039
AB32,NH4,27,0.433
AB32,NH4,28,0.4484
AB32,NH4,29,0.227
AB32,NH4,30,0.2057
AB32,NH4,31,0.4
AB32,NH4,32,0.1995
AB32,NH4,33,0.4052
AB32,NH4,34,0.2366
AB32,NH4,35,0.2228
AB32,NH4,36,0.323
AB32,NH4,37,0.4756
AB32,NH4,38,0.5701
AB32,NH4,39,0.6716
AB32,NH4,40,0.1942
AB32,NH4,41,0.1418
AB32,NH4,42,0.1917
AB32,NH4,43,0.2292
AB32,NH4,44,0.2147
AB32,NH4,45,0.1824
AB32,NH4,46,0.1151
AB32,NH4,47,0.1024
AB32,NH4,48,0.0944
AB32,NH4,49,0.0561
AB32,NH4,50,0.047
AB32,NH4,51,0.061
AB32,NH4,52,0.0763
AB32,NO3,1,1.1216
AB32,NO3,2,1.0172
AB32,NO3,3,1.3586
AB32,NO3,4,1.1848
AB32,NO3,5,1.0917
AB32,NO3,6,1.2168
AB32,NO3,7,1.6656
AB32,NO3,8,1.92
AB32,NO3,9,2.8088
AB32,NO3,10,1.3042
AB32,NO3,11,1.224
AB32,NO3,12,2.556
AB32,NO3,13,1.2095
AB32,NO3,14,1.1063
AB32,NO3,15,0.747
AB32,NO3,16,1.5548
AB32,NO3,17,1.1747
AB32,NO3,18,1.0913
AB32,NO3,19,0.4774
AB32,NO3,20,0.581
AB32,NO3,21,0.5757
AB32,NO3,22,0.5433
AB32,NO3,23,0.7731
AB32,NO3,24,0.8001
AB32,NO3,25,0.5193
AB32,NO3,26,0.6184
AB32,NO3,27,0.862
AB32,NO3,28,0.6533
AB32,NO3,29,0.8801
AB32,NO3,30,0.542
AB32,NO3,31,0.6417
AB32,NO3,32,0.4092
AB32,NO3,33,0.4535
AB32,NO3,34,0.6296
AB32,NO3,35,0.3153
AB32,NO3,36,0.4865
AB32,NO3,37,0.84
AB32,NO3,38,0.9387
AB32,NO3,39,0.5054
AB32,NO3,40,0.4927
AB32,NO3,41,0.524
AB32,NO3,42,0.7028
AB32,NO3,43,0.764
AB32,NO3,44,0.8484
AB32,NO3,45,1.4202
AB32,NO3,46,1.1878
AB32,NO3,47,0.7036
AB32,NO3,48,0.8952
AB32,NO3,49,0.7696
AB32,NO3,50,0.8949
AB32,NO3,51,0.9597
AB32,NO3,52,0.805
AB32,SO4,1,0.5849
AB32,SO4,2,0.6171
AB32,SO4,3,0.5545
AB32,SO4,4,0.6896
AB32,SO4,5,0.636
AB32,SO4,6,0.5542
AB32,SO4,7,0.823
AB32,SO4,8,0.9099
AB32,SO4,9,1.7575
AB32,SO4,10,1.2437
AB32,SO4,11,1.0442
AB32,SO4,12,3.3698
AB32,SO4,13,1.6298
AB32,SO4,14,1.084
AB32,SO4,15,1.1023
AB32,SO4,16,2.584
AB32,SO4,17,1.6923
AB32,SO4,18,1.8382
AB32,SO4,19,1.328
AB32,SO4,20,1.8123
AB32,SO4,21,0.8023
AB32,SO4,22,0.5895
