SITE_ID,variable,week,slope,intercept,n_obs,seasonal_mean
AB32,CA,1,-0.107372,218.6194,7,1.646
AB32,CA,2,-0.037311,76.7545,8,1.3582
AB32,CA,3,-0.138053,280.2975,8,1.3258
AB32,CA,4,0.014082,-27.0854,5,1.3714
AB32,CA,5,0.455077,-917.4577,5,2.1451
AB32,CA,6,0.145657,-293.0834,6,1.2553
AB32,CA,7,-0.009429,21.7441,7,2.6912
AB32,CA,8,-0.571853,1159.5016,7,3.9213
AB32,CA,9,-1.07825,2183.7589,3,4.8706
AB32,CA,10,1.388735,-2801.5453,6,4.7604
AB32,CA,11,-1.151096,2328.6738,4,2.5802
AB32,CA,12,-1.341429,2714.441,4,3.7311
AB32,CA,13,-1.516288,3069.7386,6,5.6788
AB32,CA,14,-0.341522,692.1879,6,2.0532
AB32,CA,15,-1.5581,3154.9041,4,6.3524
AB32,CA,16,-1.686524,3413.906,4,5.8402
AB32,CA,17,-0.117305,238.9837,6,1.9386
AB32,CA,18,-1.239857,2511.4664,6,6.0083
AB32,CA,19,-0.043597,89.2531,5,1.1538
AB32,CA,20,-0.01525,31.8345,3,1.0179
AB32,CA,21,0.419,-846.2893,3,0.4106
AB32,CA,22,-0.042273,85.8629,6,0.4397
AB32,CA,23,-0.326063,660.2292,8,1.3328
AB32,CA,24,-0.07485,152.0267,9,0.7726
AB32,CA,25,0.055382,-111.0382,6,0.8764
AB32,CA,26,0.228179,-460.4224,8,0.6726
AB32,CA,27,-0.228203,462.408,8,1.2643
AB32,CA,28,-0.303924,614.793,7,0.6338
AB32,CA,29,0.103576,-208.9929,6,0.3102
AB32,CA,30,-0.024336,49.5835,7,0.4069
AB32,CA,31,-0.075321,153.0086,7,0.8018
AB32,CA,32,0.054557,-109.9274,6,0.3197
AB32,CA,33,0.046857,-94.2203,6,0.4669
AB32,CA,34,-0.262753,531.9643,7,1.0025
AB32,CA,35,0.007472,-14.8283,6,0.271
AB32,CA,36,0.003045,-5.3643,8,0.789
AB32,CA,37,0.0225,-44.7365,7,0.7307
AB32,CA,38,-0.206178,418.0242,7,1.3868
AB32,CA,39,-0.034144,69.7348,7,0.7374
AB32,CA,40,-0.237181,480.0793,6,0.7932
AB32,CA,41,-0.069739,141.7493,6,0.823
AB32,CA,42,0.106477,-214.2115,8,0.9529
AB32,CA,43,0.036483,-72.5882,8,1.1362
AB32,CA,44,0.025804,-51.2504,6,0.8928
AB32,CA,45,-0.216459,440.7652,7,3.3525
AB32,CA,46,-0.212163,431.947,9,3.2167
AB32,CA,47,0.351894,-708.612,9,2.4828
AB32,CA,48,0.068937,-138.4929,8,0.8124
AB32,CA,49,0.091365,-183.5424,8,1.0856
AB32,CA,50,0.088956,-178.4862,9,1.2726
AB32,CA,51,-0.013223,27.5964,7,0.875
AB32,CA,52,-0.284923,577.2177,3,1.4555
AB32,CL,1,-0.053836,109.0242,7,0.2344
AB32,CL,2,-0.052541,106.3619,8,0.1882
AB32,CL,3,-0.057085,115.5184,8,0.1627
AB32,CL,4,-0.003432,7.0865,5,0.1522
AB32,CL,5,-0.018508,37.5843,6,0.183
AB32,CL,6,0.006029,-12.0404,6,0.1419
AB32,CL,7,-0.053536,108.4383,7,0.2553
AB32,CL,8,-0.060737,123.0158,7,0.2817
AB32,CL,9,-0.094374,191.1605,4,0.4525
AB32,CL,10,-0.032206,65.354,6,0.2735
AB32,CL,11,-0.113133,228.8731,4,0.259
AB32,CL,12,-0.092071,186.4267,4,0.3721
AB32,CL,13,-0.098017,198.5721,6,0.503
AB32,CL,14,-0.020354,41.2583,6,0.1276
AB32,CL,15,0.0069,-13.8539,4,0.0894
AB32,CL,16,-0.091395,185.039,4,0.3522
AB32,CL,17,-0.012996,26.4262,6,0.1649
AB32,CL,18,-0.138657,280.8656,6,0.6723
AB32,CL,19,-0.013216,26.808,5,0.1008
AB32,CL,20,-0.002,4.089,3,0.0475
AB32,CL,21,0.0105,-21.1898,3,0.0282
AB32,CL,22,-0.006335,12.8565,6,0.0551
AB32,CL,23,-0.028023,56.7529,8,0.126
AB32,CL,24,-0.00545,11.078,9,0.0648
AB32,CL,25,0.006324,-12.6889,6,0.0895
AB32,CL,26,0.00825,-16.6223,8,0.049
AB32,CL,27,-0.007892,16.04,8,0.0924
AB32,CL,28,-0.009684,19.6212,7,0.0517
AB32,CL,29,-0.023348,47.3232,7,0.1417
AB32,CL,30,-0.004469,9.0776,7,0.0465
AB32,CL,31,-0.007357,14.929,7,0.062
AB32,CL,32,0.001657,-3.3139,6,0.0348
AB32,CL,33,0.003214,-6.4476,6,0.0477
AB32,CL,34,-0.031494,63.7354,7,0.0937
AB32,CL,35,0.000466,-0.8969,6,0.0445
AB32,CL,36,0.002378,-4.7406,8,0.0655
AB32,CL,37,0.006036,-12.1427,7,0.054
AB32,CL,38,-0.02154,43.6719,7,0.1449
AB32,CL,39,-0.002608,5.3429,7,0.0724
AB32,CL,40,-0.017759,35.9465,6,0.0597
AB32,CL,41,0.008174,-16.4625,6,0.0551
AB32,CL,42,-0.009032,18.3432,9,0.0908
AB32,CL,43,-0.001258,2.6082,8,0.0655
