SITE_ID,first_DATEON,last_DATEOFF,network
CAD150,2000-01-04,2026-01-27,CASTNET
CAN407,2000-01-04,2026-01-20,CASTNET
CAT175,2000-01-04,2025-08-26,CASTNET
WSP144,2000-01-04,2026-01-13,CASTNET
CON186,2003-06-17,2011-01-04,CASTNET
KNZ184,2002-03-26,2026-01-27,CASTNET
KVA428,2004-06-29,2005-08-09,CASTNET
OXF122,2000-01-04,2026-01-27,CASTNET
ANA115,2000-01-04,2022-05-10,CASTNET
HOW132,2000-01-04,2012-10-30,CASTNET
EVE419,2000-01-04,2026-01-27,CASTNET
CDR119,2000-01-04,2022-05-10,CASTNET
PNF126,2000-01-04,2022-05-03,CASTNET
WNC429,2004-03-23,2022-12-27,CASTNET
MAR013,2025-10-14,2026-01-27,CASTNET
SEK402,2000-01-04,2005-01-04,CASTNET
ROM406,2000-01-04,2026-01-27,CASTNET
GLR468,2000-01-04,2026-01-27,CASTNET
BAS601,2012-10-30,2025-04-08,CASTNET
GAS153,2000-01-04,2026-01-27,CASTNET
CTH110,2000-01-04,2026-01-27,CASTNET
COW005,2014-11-18,2016-08-09,CASTNET
NIC001,2012-11-27,2026-01-27,CASTNET
VPI120,2000-01-04,2026-01-27,CASTNET
SAN189,2006-07-11,2024-04-30,CASTNET
DIN431,2014-06-10,2026-01-20,CASTNET
PIN414,2000-01-04,2026-01-27,CASTNET
HOW191,2011-09-27,2018-12-04,CASTNET
IRL141,2001-07-03,2026-01-27,CASTNET
BFT142,2000-01-04,2026-01-20,CASTNET
ALB801,2019-11-05,2026-01-27,CASTNET
SAN192,2024-06-04,2026-01-27,CASTNET
VIN140,2000-01-04,2026-01-20,CASTNET
UVL124,2000-01-04,2026-01-20,CASTNET
WFM105,2012-11-20,2026-01-20,CASTNET
PRK134,2000-01-04,2026-01-20,CASTNET
HOX148,2000-10-31,2026-01-27,CASTNET
MCK231,2000-01-04,2026-01-27,CASTNET
CHE185,2002-04-02,2026-01-27,CASTNET
JOT403,2000-01-04,2026-01-27,CASTNET
WFM007,2015-06-02,2017-10-03,CASTNET
DUK008,2017-05-02,2026-01-27,CASTNET
DEN417,2000-01-04,2026-01-27,CASTNET
ASH235,2000-01-04,2001-07-31,CASTNET
KEF112,2000-01-04,2026-01-27,CASTNET
