analysis_type,SITE_ID,Start_Date,End_Date,Num_Years,acf_SO2_Lag,fft_SO2_Period,acf_SO4_Lag,fft_SO4_Period,acf_HNO3_Lag,fft_HNO3_Period,acf_NO3_Lag,fft_NO3_Period,acf_TNO3_Lag,fft_TNO3_Period,acf_NH4_Lag,fft_NH4_Period,acf_CA_Lag,fft_CA_Period,acf_K_Lag,fft_K_Period,acf_MG_Lag,fft_MG_Period,acf_Sodium_Lag,fft_Sodium_Period
seg,ABT147,2000-01-04,2011-07-26,11.56,7,52.08,102,52.08,7,52.08,17,52.08,7.0,52.08,157,26.04,226,52.08,NA,NA,67,26.04,153,52.08
same5len,ABT147,2005-01-04,2010-01-04,5.0,50,54,50,54,7,54,20,54,50.0,54.0,50,27.0,23,54,100,27,15,7.71,15,54
same5len,ABT147,2000-01-04,2005-01-04,5.0,60,54,63,54,15,54,10,54,45.0,54.0,45,27.0,45,135,NA,NA,10,54,27,54
same3len,ABT147,2006-01-04,2009-01-04,3.0,50,53.33,50,53.33,23,53.33,37,53.33,50.0,53.33,50,26.67,23,53.33,47,26.67,15,17.78,15,53.33
same3len,ABT147,2019-10-15,2022-10-15,3.0,11,53.33,39,53.33,46,26.67,56,53.33,25.0,53.33,46,26.67,33,26.67,68,26.67,43,26.67,99,53.33
same3len,ABT147,2000-01-04,2003-01-04,3.0,55,53.33,22,53.33,7,53.33,17,53.33,7.0,7.27,22,7.27,15,53.33,65,53.33,76,53.33,23,53.33
same3len,ABT147,2011-08-30,2014-08-30,3.0,89,53.33,15,40,5,20,47,53.33,5.0,53.33,33,53.33,84,26.67,47,26.67,31,26.67,31,53.33
same3len,ABT147,2015-11-10,2018-11-10,3.0,71,53.33,9,26.67,38,26.67,47,53.33,68.0,53.33,30,26.67,15,53.33,9,26.67,59,20,59,53.33
same3len,ABT147,2003-01-04,2006-01-04,3.0,7,53.33,14,53.33,7,53.33,49,53.33,51.0,53.33,89,53.33,67,26.67,NA,NA,21,26.67,58,53.33
seg,ACA416,2000-10-17,2015-05-26,14.6,67,51.2,37,51.2,26,26.48,NA,NA,100.0,26.48,26,51.2,89,51.2,NA,NA,149,26.48,107,51.2
same5len,ACA416,2000-10-17,2005-10-17,5.0,7,54,84,54,17,27,NA,NA,161.0,27.0,60,54.0,30,54,NA,NA,10,27,46,54
same5len,ACA416,2005-10-17,2010-10-17,5.0,50,54,58,54,16,54,10,54,58.0,27.0,26,54.0,34,54,6,54,30,24.55,34,54
same3len,ACA416,2009-10-17,2012-10-17,3.0,40,53.33,14,20,33,26.67,4,53.33,62.0,20,31,26.67,5,26.67,18,40,28,26.67,62,53.33
same3len,ACA416,2006-10-17,2009-10-17,3.0,5,53.33,99,53.33,7,26.67,29,53.33,37.0,26.67,5,53.33,89,4.71,9,40,45,53.33,20,53.33
same3len,ACA416,2015-06-02,2018-06-02,3.0,26,160,71,16,71,53.33,15,53.33,6.0,26.67,25,26.67,15,26.67,7,17.78,21,26.67,53,53.33
same3len,ACA416,2003-10-17,2006-10-17,3.0,100,53.33,28,53.33,26,53.33,NA,NA,40.0,7.27,14,53.33,14,26.67,67,16,46,26.67,46,53.33
same3len,ACA416,2019-01-22,2022-01-22,3.0,63,53.33,16,32,30,26.67,8,53.33,30.0,53.33,33,26.67,70,26.67,27,17.78,12,26.67,5,53.33
same3len,ACA416,2000-10-17,2003-10-17,3.0,13,53.33,53,53.33,30,26.67,17,53.33,15.0,26.67,30,53.33,NA,NA,NA,NA,85,160,17,160
seg,ALC188,2014-03-18,2020-08-04,6.38,26,51.43,85,51.43,20,51.43,109,51.43,87.0,51.43,24,30.0,39,51.43,98,51.43,15,51.43,33,51.43
same5len,ALC188,2014-03-18,2019-03-18,5.0,15,54,65,54,95,45,54,54,54.0,54.0,46,18.0,39,38.57,19,54,15,54,24,54
same3len,ALC188,2021-06-01,2024-06-01,3.0,35,53.33,22,53.33,13,40,30,53.33,42.0,53.33,29,12.31,58,53.33,65,53.33,16,53.33,77,53.33
same3len,ALC188,2014-03-18,2017-03-18,3.0,9,53.33,38,53.33,43,5.33,29,53.33,27.0,13.33,46,8,42,53.33,72,53.33,85,53.33,24,53.33
same3len,ALC188,2017-03-18,2020-03-18,3.0,57,53.33,7,53.33,10,8.89,41,53.33,63.0,53.33,9,8.89,10,80,15,53.33,44,53.33,33,53.33
seg,ALH157,2006-05-02,2016-11-01,10.5,58,52.36,9,52.36,159,52.36,143,52.36,148.0,52.36,255,52.36,257,52.36,21,52.36,102,52.36,223,52.36
seg,ALH157,2000-01-04,2006-04-18,6.29,80,51.43,14,51.43,14,51.43,59,51.43,49.0,51.43,14,25.71,64,51.43,11,51.43,64,51.43,80,51.43
same5len,ALH157,2000-01-04,2005-01-04,5.0,30,54,4,54,30,54,59,54,92.0,54.0,92,27.0,64,54,52,54,64,54,15,54
same5len,ALH157,2011-05-02,2016-05-02,5.0,74,54,61,54,45,54,56,54,74.0,54.0,13,54.0,60,54,24,54,12,54,33,54
same5len,ALH157,2006-05-02,2011-05-02,5.0,17,54,14,54,14,54,17,54,56.0,54.0,56,27.0,36,54,21,54,89,54,19,54
same3len,ALH157,2000-01-04,2003-01-04,3.0,8,53.33,4,53.33,30,53.33,59,53.33,92.0,53.33,14,26.67,25,53.33,32,53.33,33,53.33,30,53.33
same3len,ALH157,2009-05-02,2012-05-02,3.0,22,53.33,14,53.33,9,53.33,61,53.33,25.0,53.33,32,53.33,52,53.33,17,53.33,61,53.33,22,53.33
same3len,ALH157,2006-05-02,2009-05-02,3.0,19,53.33,56,53.33,14,53.33,46,53.33,46.0,53.33,36,26.67,24,53.33,21,53.33,24,53.33,19,53.33
same3len,ALH157,2012-05-02,2015-05-02,3.0,74,53.33,61,53.33,29,53.33,9,53.33,12.0,53.33,58,53.33,75,53.33,21,53.33,45,53.33,33,53.33
same3len,ALH157,2003-01-04,2006-01-04,3.0,9,53.33,7,53.33,14,53.33,6,53.33,26.0,53.33,72,26.67,55,53.33,11,53.33,11,53.33,77,53.33
seg,ANA115,2000-01-04,2008-08-12,8.61,11,50,11,50.0,99,50,NA,NA,90.0,50.0,111,26.47,76,50,111,50,76,50,54,50
