analysis_type,SITE_ID,Start_Date,End_Date,Num_Years,acf_SO4_Lag,fft_SO4_Period,acf_NO3_Lag,fft_NO3_Period,acf_NH4_Lag,fft_NH4_Period,acf_CA_Lag,fft_CA_Period,acf_K_Lag,fft_K_Period,acf_MG_Lag,fft_MG_Period,acf_Sodium_Lag,fft_Sodium_Period
same3len,IN34,2007-09-18,2010-09-18,3.0,15.0,NA,29.0,NA,32,NA,15,NA,15,NA,15,NA,15,NA
same3len,MA98,2016-08-30,2019-08-30,3.0,11.0,10,11.0,53.33,11,53.33,50,53.33,46,26.67,7,26.67,7,53.33
same3len,ME02,1999-12-28,2002-12-28,3.0,7.0,NA,35.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,NA
same3len,NC25,2019-05-28,2022-05-28,3.0,38.0,6.67,42.0,53.33,38,5.52,38,6.67,38,53.33,NA,NA,38,53.33
same3len,NC41,2008-01-08,2011-01-08,3.0,10.0,NA,47.0,NA,16,NA,4,NA,4,NA,4,NA,4,NA
same3len,NY20,2013-12-24,2016-12-24,3.0,32.0,53.33,14.0,80,14,53.33,32,20,NA,NA,NA,NA,66,53.33
same3len,NY20,2017-07-18,2020-07-18,3.0,26.0,17.78,19.0,26.67,19,53.33,NA,NA,NA,NA,NA,NA,22,53.33
same3len,NY20,2004-06-15,2007-06-15,3.0,10.0,53.33,13.0,53.33,10,53.33,18,53.33,NA,NA,NA,NA,23,53.33
same3len,NY28,2015-03-17,2018-03-17,3.0,14.0,5.93,55.0,53.33,12,53.33,17,53.33,NA,NA,17,53.33,NA,NA
same3len,NY43,2017-09-19,2020-09-19,3.0,14.0,NA,14.0,NA,35,NA,11,NA,25,NA,14,NA,NA,NA
same3len,NY68,2006-09-05,2009-09-05,3.0,8.0,53.33,26.0,7.27,8,7.27,6,53.33,8,53.33,6,7.62,6,53.33
seg,NY98,2008-11-25,2018-05-01,9.43,54.0,5.26,54.0,50,54,55.56,125,5.26,NA,NA,NA,NA,NA,NA
seg,NY98,2003-04-15,2008-11-18,5.6,40.0,50.0,8.0,50,93,50.0,NA,NA,NA,NA,NA,NA,27,50
same5len,NY98,2003-04-15,2008-04-15,5.0,40.0,54,8.0,54,93,54,NA,NA,NA,NA,NA,NA,27,54
same5len,NY98,2008-11-25,2013-11-25,5.0,54.0,NA,54.0,NA,42,NA,14,NA,6,NA,6,NA,8,NA
same3len,NY98,2008-11-25,2011-11-25,3.0,10.0,NA,26.0,NA,31,NA,51,NA,6,NA,NA,NA,8,NA
same3len,NY98,2014-11-25,2017-11-25,3.0,17.0,26.67,17.0,80,17,53.33,27,26.67,48,26.67,29,26.67,NA,NA
same3len,NY98,2011-11-25,2014-11-25,3.0,32.0,8.42,54.0,53.33,32,8.42,32,53.33,22,26.67,32,5.33,64,53.33
same3len,NY98,2003-04-15,2006-04-15,3.0,11.0,53.33,11.0,53.33,11,53.33,NA,NA,NA,NA,NA,NA,27,53.33
same3len,PA42,2001-12-31,2004-12-31,3.0,60.0,53.33,47.0,17.78,47,53.33,NA,NA,NA,NA,34,53.33,45,53.33
same3len,PR20,2009-05-08,2012-05-08,3.0,5.0,53.33,13.0,53.33,NA,NA,8,26.67,8,53.33,8,53.33,8,53.33
same3len,VA00,2019-12-20,2022-12-20,3.0,20.0,NA,42.0,NA,20,NA,20,NA,5,NA,NA,NA,18,NA
same3len,VA28,2002-11-12,2005-11-12,3.0,15.0,NA,15.0,NA,15,NA,NA,NA,NA,NA,NA,NA,14,NA
seg,VT99,2012-03-27,2017-09-12,5.46,49.0,6.7,17.0,48,49,57.6,105,26.18,NA,NA,21,26.18,82,48
same5len,VT99,2012-03-27,2017-03-27,5.0,49.0,6.14,17.0,54,49,54,105,54,NA,NA,NA,NA,82,54
same3len,VT99,2012-03-27,2015-03-27,3.0,7.0,6.67,37.0,53.33,7,53.33,44,53.33,15,26.67,44,53.33,15,53.33
same3len,VT99,2005-03-15,2008-03-15,3.0,26.0,53.33,13.0,4.32,26,53.33,26,53.33,34,53.33,26,53.33,10,53.33
same3len,WI35,2012-10-02,2015-10-02,3.0,15.0,NA,4.0,NA,19,NA,4,NA,4,NA,NA,NA,NA,NA
same3len,WV05,2002-12-03,2005-12-03,3.0,12.0,NA,15.0,NA,9,NA,27,NA,62,NA,27,NA,15,NA
same3len,WV18,2014-03-04,2017-03-04,3.0,12.0,11.43,12.0,53.33,23,11.43,12,53.33,32,53.33,43,53.33,13,53.33
same3len,WV18,2019-01-29,2022-01-29,3.0,19.0,53.33,25.0,8.89,19,53.33,50,53.33,17,160,NA,NA,NA,NA
same3len,WV18,2001-01-16,2004-01-16,3.0,15.0,53.33,15.0,8,6,53.33,NA,NA,95,53.33,NA,NA,8,53.33
